[0:0.000,0:1.580,0]  欢迎收听地下关
[64:15.340,64:29.220,0]  创造性代理而且他尤其是那个这点我觉得倒是呃呃慈禧有有一些贡献比如说他那个对佛香阁的改造就是在七月年代那个佛香阁那个那个位置不是个佛香阁是一个宝塔
[64:29.620,64:33.430,0]  那就说明这个词在很多方面的品味还要比乾隆好高呀
[64:33.430,64:37.390,1]  差不多差不多他们俩都挺浓的呵呵
[64:37.390,64:39.010,0]  嗯但是对于这
[64:39.010,64:43.530,1]  什么翡翠大白菜啊什么什么那个碧玺西瓜不是都是
[64:43.530,64:45.170,0]  啊对对对对
[64:45.170,64:53.040,1]  Aa品味特别能那个聊得上天的说点坏了两个这个
[64:53.040,65:34.620,0]  这也有可能什么呢就是说这个修复颐和园的时候可能慈禧没有那么因为它是个女流吗没有这么多参与他这个园林的但是乾隆根据这个类型档案记载乾隆可是事必躬亲啊他这些建筑啊里头的城市啊什么他都是亲自这个这个过问亲自但是我我我觉得还有还有一点那个这个咱们可能还要再发散讲一下就是说在乾隆年代有一点就是在绘画上有一个奇葩就是老是您的出现跟静怡老师您为代表的一批就是呃叫什么海西画法的这个东西这个是最终对ipad是对中国绘画史来说是一个呃应该说是一个奇葩
[65:34.870,66:0.610,0]  这个以前大家可能对这户是比较少这个当来说我觉得是潜移默化也好怎么样是在乾隆时代发生的这样的一个事情这个这个分儿应该也可以记得乾隆的身上因为他这个老师您还有这个余老师您为首的比如像那个它有四个人是很有名的老师您王志成艾启蒙跟安德一这四个人就都是西方人这四个人所创造这个海西画派
[66:0.680,66:3.630,0]  这个对中国绘画史上产生了影响还是不
[66:4.900,66:16.910,0]  但我觉得这也俩说啊因为你看就从那个最著名的心血视频这个长卷来说吧钱呃多少个人我忘了但是最后几个人我就不是13的一个说明乾隆活得太长了
[66:17.460,67:0.030,0]  那就是11个是海西话把海西派华但是最后两个就是传统的那个中国式的那种爸爸了就说明乾隆活得太长这个等朗世宁还有王志成这些人过世了然后他们他可能带着第一手的这些徒弟也过去了然后他们这些话画风再倾盖的宫廷画师里并没有遗憾的就是它这个就说是怎么样的就是说其实刚才超人你讲的就是说中国在17世纪18世纪实际上是接受了很多西方的好多的影响但是很遗憾的就是就有点跟那就这些影响只集中于这个皇家的这个范围并没有流散到民间去就没有对中国整个社会产生这是最最遗憾的一个事情就就是刚才
[67:0.030,67:10.100,1]  你看那个康熙时期啊康熙时期就连他对天文和历法数学的感兴趣都集中在她一个人身上他连推广都没进
[67:10.100,67:14.570,0]  对这就是很遗憾就是说就是还就海西画法也是就跟刚才那个
[67:14.700,67:27.680,0]  呃超呃呃那个区嘉奖的就他这些画法的确是没有后来就是传承下去虽然那个老师您他有些徒弟啊或者怎么样的但是这些东西就基本上到他们这些传教士这个
[67:28.120,67:29.660,0]  去世以后这个
[67:30.030,67:31.400,0]  又回归到了
[67:32.140,67:36.590,0]  传统的这个上面去了没有这个引起就很大的竞争
[67:36.590,67:47.220,1]  但是但是其实这种写实的还是推推广开来一些吧因为毕竟原来没有这种显示的训练只不过后来换的不够好
[67:47.220,68:7.220,0]  呃对就是说没有发扬光大就说这些人后来没有就说没有在这个老是听他们的基础上就好像把这个东西再发过来好像就是说就说有有影响但是影响就就说谁也不能说就老是用土地换表事情还好就大家就觉得老师平时画的最好的了就是这就是一个我觉得是个是个遗憾的地方
[68:8.130,68:15.840,1]  但是其实还是画的多了比如说你咱们都看过那个寿康宫的贴路是吧那个重庆皇太后吧群像
[68:16.000,68:18.600,1]  那个乾隆的全家福其实
[68:18.690,68:20.220,1]  那个杂还都是血
[68:20.220,68:25.490,0]  那个那个超人几把你刚才说了一个词叫贴咯你你把这个跟大家解释一下什么叫贴路啊
[68:26.970,68:31.960,1]  披露披露就是壁纸吗就是花了花的壁纸可以贴上也可以落下来
[68:31.960,68:49.040,0]  对就可以给他接下来就是说就一点像这个什么呃年画儿的就挂上完了不好再给他拿起来以后在这个呃就是收哎所以我觉得这个倒有一个很有意思就是超人奖倒贴啦就是贴咯啊
[68:49.350,68:50.680,1]  正好是
[68:51.460,69:9.570,0]  因为咱们这个先卖个关子吧因为以后如果我们要谈到那个呃乾隆乾隆花园啊或者建福宫也好肯定会要讲到贴漯河他的一些划分一些设计的问题但我现在就是想到了就是我们现在比如说我们去因为呃去去欧洲
[69:9.780,69:19.760,0]  同时在天龙同时代的这些东西比如说房产赛宫吧这个因为变化比较大但是有这个奥地利的那个维也纳的美泉宫他有些内部的成色装饰
[69:20.320,69:36.990,0]  装饰啊还保持了当时这个1080G这个的一些特点它里头很多这个建筑这个就是它这个公里的那个墙纸还是80几的就股市你还有印象没有美泉宫的墙纸它不是有一个听就是有一些
[69:37.070,69:38.425,0]  就是以中国
[69:38.425,69:40.830,0]  中国风格就有一个中国性质
[69:41.180,69:44.530,1]  就是洛可可洛可可是这个这个呃
[69:44.530,69:49.710,0]  就是一种洛可可适合中国来的一些装饰的母题的一种混合
[69:49.830,69:57.210,1]  以东方的神秘主义唯美然后就到处建英式花园里边有个退这有点馋记
[69:57.210,70:6.430,0]  Ese东西方互相都有
[70:6.430,70:7.700,1]  好像是这个
[70:8.680,70:14.920,1]  这个主要闻名全球的这些王氏都是这个审美趋同的都是以繁复
[70:15.180,70:16.880,1]  以这个呃这
[70:16.880,70:17.830,0]  对啊
[70:17.960,70:19.090,1]  标这个
[70:19.090,70:33.665,0]  繁琐以这个反复为这个为为谁谁想到哎超人我想问你一下就是你你刚才讲到就说那个有这个就是贴了贴二的话就是引出另外一个就是通鼎华对吧咱们知道就在那个
[70:33.665,70:38.510,0]  就是这个潜龙花园里面那个后面那个通电话除了这个别的地方还有蘑菇公寓
[70:38.510,70:39.370,1]  卷牵制
[70:40.620,70:44.260,1]  哎好还还有一个我现在想不起来我记得是两个
[70:45.070,70:50.140,0]  这个等于是趋势的这个对于他们这个就是传教士的影响吧
[70:52.560,71:2.380,0]  所以我觉得其实有很多东西啊当然因为乾隆起来留给我们有很多的这个还有很多来给我觉得也是因为乾隆那个年代他的因为他的这种
[71:2.610,71:6.810,0]  他也他的这种口味是产生了很多的这个
[71:7.530,71:9.310,0]  手工艺上的一些
[71:9.830,71:14.720,0]  嗯怎么说呢登峰造极的一些一些一些一些一些一些一些
[71:14.770,71:31.330,0]  技术吧这些技术后来又因为乾隆的去世完了那个国力衰退后来就都都都失传了那这好多东西其实也很有故事的尤其在这个呃修复潜龙花园的时候就会讲到好多这样的东西这个咱们这这就留个伏笔以后我们可能会进一步深入讲这些东西
[71:31.540,71:52.280,0]  反正这个哎其实这里面就是说我讲的就是海西画派或者怎么这个其实因为现在这些年在讲的这个文物市场也好这个老师您的东西现在以前好像大家对这个东西认识好像或者是欣赏不过现在好像老师您跟这批东西好像现在这个这个大家还挺追捧的
[71:52.890,71:55.540,1]  那多嘛所以才能值得追捧
[71:56.200,71:58.880,0]  是这样这个台台北故宫
[71:59.010,72:0.200,0]  当时把
[72:0.310,72:4.600,0]  会话带到台北去好像还是把老师这些东西带走了不少
[72:6.340,72:35.080,0]  最近在旧金山有一个有一个台北故宫来的一个叫皇帝的趣味的这么一个展结合我们这些节目有一点关系然后有很多至少就把钱隆特别我不知道是乾隆还是谁的那块大红烧肉拿到那个那个旧金山去转了所以现在正在占着呢呃我所以我把这个消息告诉大家其实有兴趣的可以去这个旧金山的亚洲艺术博物馆看一下看一看那个红烧肉没死
[72:35.080,72:43.180,1]  讲的台北故宫拿什么红烧肉和白菜当那个镇馆之宝我就觉得可笑呵呵e
[72:43.360,72:45.590,1]  农业圣龙的气味
[72:45.590,72:52.390,0]  呃不是在这个在咱们中国农业社会这实物一直是一个非常紧俏的这个资源的时候
[72:52.390,72:57.450,1]  但是这个皇家南这两件事儿倒挺呵呵
[72:58.140,72:59.540,1]  当一个这个
[72:59.760,73:0.900,1]  是来
[73:0.910,73:7.210,1]  这样还是挺搞笑的就是去年还是前年故宫有一个地儿就是摘一个
[73:7.520,73:13.510,1]  削弱的过程中发现了墙里有一个咸丰的御笔
[73:14.310,73:15.200,1]  这个
[73:15.500,73:18.410,1]  这个福字吧好像是然后还有
[73:18.730,73:23.480,1]  这个春联儿感觉就是现在东北炕头上贴的那个
[73:24.290,73:25.540,1]  是的那个
[73:25.540,73:31.520,0]  他这个贴到可能就是有点像那种反正贴几年以后完了就咱把这摘来再换个新的呼上去是不是这个意思
[73:32.180,73:35.730,1]  就是有有有各种不同的那个
[73:35.900,73:50.260,1]  级别嘛有的就是你像那个先售空贴的那个贴落的复制品就是那个是姚文瀚华的嗯就是有非常这个重要的话是画的也有非常一般的或者有皇帝亲自写的御笔
[73:51.700,74:0.460,0]  哎还有那个就是那个你给我看过那个就是前头坐在那看那孔雀开屏的那个贴了好像那个是是哪的是是原来圆明园的贴了是不是
[74:0.940,74:3.020,1]  圆明园的圆明园的铁路
[74:3.020,74:4.270,0]  那贴那贴了
[74:4.270,74:7.350,1]  就是他等于落下来之后落下来之后就收起来了
[74:7.350,74:12.600,0]  这这东西也是也是不不不那个处理的呀这样收起来等于也也是好东西的
[74:13.960,74:16.990,1]  对呀对呀因为那个也是一看就是
[74:17.120,74:19.730,1]  就是你说的这种海西华派的这种
[74:19.960,74:29.790,1]  话时话有的不留名像这个售空这个知道是姚文换换的呢是他在这个乾隆的后边儿坏了一个被屏就是一个
[74:29.920,74:30.750,1]  那个
[74:30.960,74:36.220,1]  屏风屏风上以后山水画山水画儿有一个小的题字写的一卧室
[74:37.560,74:39.820,1]  就是他长了自己的这个
[74:40.070,74:43.710,1]  这肯定是有异常的因为房子也能看的不是那种故意
[74:44.390,74:46.120,1]  有异常了自己的控制
[74:46.340,74:50.150,0]  因为一般来说这些宫廷画家他画这些东西不让他们落款
[74:52.660,75:1.920,1]  就是有有一些贴咯比如说在这个什么窗户上面啊什么事能都有款的泄露因为也都是重要的画师画的
[75:2.720,75:10.970,1]  所以所以就是分几种有的贴咯就是很很一般的可能就没有名儿然后有的铁路局是有这个
[75:13.320,75:32.150,0]  这个我看这个时间也差不多反正我觉得聊乾隆这个人吧也是意犹未尽这个毕竟它是对我们现在怎么说的晚境的中国艺术史是有这个艺术发展是有巨大影响这么一个人物而且他又留下了那么多的呃
[75:32.270,75:42.460,0]  园园林也好建筑也好怎么样的然后而且直到今天我觉得虽然有人很烦他但是喜欢他的人也大有人在
[75:42.590,75:44.320,1]  关键我们绕不开他
[75:44.690,75:48.590,0]  对呀就绕不开他真是给我们留下了很多的这个应季
[75:48.650,75:53.400,0]  这一期的地下关就到此结束感谢收听也希望大家喜欢
[75:54.080,75:57.610,0]  我们推荐大家使用泛用型播客客户端订阅收听
[75:58.120,76:3.540,0]  在地下关点com可以找到于每期节目内容相关的链接供大家按图索骥
[76:4.060,76:7.460,0]  您也可以通过知乎专栏和新浪微博关注碧霞观
[76:8.010,76:11.530,0]  我们非常欢迎您以各种形式给我们提出意见和反馈
[76:12.080,76:17.570,0]  如果您喜欢发邮件我们的邮箱是B下关ipn.i
[76:18.000,76:22.620,0]  同时也欢迎收听ips网络播客网络旗下的其他节目
[76:25.830,76:33.890,0]  博物志内核恐慌他一来了流行通讯哈sorry印象无资源和选美我们下周见
