[0:0.000,0:3.870,0]  今天是必须要关的第23期，大家好，我是竹子。
[63:19.860,63:29.340,1]  郯城对对对那他现在他你说那个就他那个就那个就是粮价上他那个侧面有吗，煮了下面有个侧面还有吗，还是侧面就就看不见。
[63:29.340,63:32.650,0]  四面都都漫漶斑驳了。
[63:33.050,63:42.720,0]  就是是吧，之前原来肯定是有的人是有的，有些地方能看见点这个端你有一些影子，但是大部分还都没了。
[63:43.150,63:49.240,0]  但最好的都是在所有的主驾驶所有中向峰都还保存呢，还不还还OK还不错。
[63:49.720,63:54.580,1]  嗯，那就大家就是如果一般人站在那看就直接就往抬头一看就应该能看见。
[63:54.580,64:2.020,0]  嗯，很远啊，他那个居家那么高，我觉得一般人不是离婚，那种远视眼是看不清的，哈哈。
[64:2.020,64:7.290,1]  不太清楚，所以的确需要拿一个三一个南一个望长焦镜头跳过来才能看见。
[64:8.200,64:12.540,0]  控制权现在其实那个管员是有那个手电。
[64:13.320,64:16.220,0]  如果讲解的话，可能会拿手连给你看。
[64:16.930,64:25.050,1]  自己带那个手电就是手电，那种光柱好像看起来就说有时候也不是特别是不还ed灯那种样子就是夸一下那种。
[64:25.130,64:27.760,1]  大范围内毕竟是一个灯柱上卷看齐。
[64:30.190,64:31.580,1]  就是都不太清楚太。
[64:31.580,64:54.250,0]  远了十他那徐家太高了，你看就大家如果看会员通讯六六米九米多的塑像到九米高，你们那个看那个看那个会员通讯会员通讯我拍那个就是它那个举架高度和那个人的比例啊，特别难看庆人家拍的时候还特别给自己。
[64:54.560,65:11.840,0]  嗯，好放在画面里就是来强调这个空间感就是呃和塑像和居家的之间比例不对，人家这次还为了为了拍这个他去了两次第一次是贷了五米的三角加是吧，然后说不够喝，这次还特别带了七米。
[65:11.840,65:20.580,1]  我我，我觉得好玩是如果你们俩换着你们俩把你把人超超人放在这个这个里边做一个对账务跟把盐州放的。
[65:20.580,65:55.770,0]  哈哈，肯定感觉会不一样，对应该我放在应该把我放在里面才更显得这个实在空间的，呵呵，不不不，这个我就第一次去吧，等当时为了省事，因为这个还是舟车劳顿，这种开车去很远，想尽量精简带了这个矮一点的五米高的这个三脚架，但是呢他他那个身高呢，五米左右吧，他们并没有到这个佛像的视频的角度等于还是看佛像有一点仰视有一点变形。
[65:55.870,65:57.770,0]  然后看下面的。
[65:58.390,66:4.030,0]  嗯，也不是特别周正，然后这次这个带了这七米多的这个价格之后。
[66:4.100,66:5.960,0]  呃，至少那个。
[66:6.260,66:11.110,0]  那个我的拍摄角度跟那个佛像的那个眼眼。
[66:11.930,66:15.050,0]  就是平时那个跟他的视线平齐了。
[66:15.180,66:16.580,0]  就是。
[66:17.320,66:24.850,0]  那个画面的感觉就是以佛现为为拟人化的这个视角去看啊，这个环境。
[66:25.540,66:26.870,0]  嗯，那是。
[66:27.220,66:28.950,0]  跟那个我们。
[66:30.790,66:35.960,1]  呃，做一下广告就说会员可以在这句汇源通信就看到我们超人拍的照片咯。
[66:36.310,66:46.100,0]  我们这个这下关节目就这一定要可视化的，一定要这个加入我们的会员通讯才能才能想问问你有。
[66:46.100,66:49.570,1]  嗯，你有没有去拍儿那个VR的计划。
[66:49.680,66:56.890,0]  下次吧，这次太黑了哦，要拍要拍对因为因为下次就是我们还是要去就是还要还要再。
[66:56.890,66:58.100,1]  那你还再去一次。
[66:58.230,67:29.390,0]  对对我还要再去，因为因为实际上我的我的感觉，这次还还好不够，因为我们这次赶的时间不好就是我们正好赶上他就说他几十年不遇的这个广东生雨交加的天气，但实际上又给了我另外的两个体验，因为我觉得这个一节一开头一结尾的体验特别好，就是第一天我们去的时候是完全黑的，那么去了，已经很晚了吗，七点多了晚上然后我们实际上就光靠手电的那个感觉。
[67:29.390,67:30.880,1]  就深夜入股素。
[67:31.420,67:37.920,0]  对他当时就在朦胧中看到它巨大，真的像像翅膀一样的那个那个。
[67:38.090,67:48.640,0]  但是他没有，虽然没有翘起来，他就是你感觉进了一个一个特别神秘的空间，然后摇曳的手电，每个人有手机啊，这种都是小灯光。
[67:48.920,67:59.580,0]  所以刚才挑人一说那个光纤我想其实把门都关上你仍然有那种真是的，就因为它高度你，你那么高，然后你看着一张浮现出一张很庄严的那个脸。
[68:0.610,68:9.740,0]  后来不就他们都出去了，我说我们要在这在呆一会儿嘛，我们这边在完全黑暗的那个情况下可能就超人再再再看拍的东西。
[68:10.390,68:12.980,0]  就那那，那一会儿的感觉特别神奇。
[68:14.050,68:15.870,0]  嗯，就是有有有。
[68:16.590,68:20.400,0]  就是空气了，对话就就有点自己主动去换。
[68:20.400,68:26.240,1]  呃，那个带竹子，这个你讲的这种感受我普通的这个听有事没法打体现的。
[68:26.240,68:39.590,0]  你是说我你可以可以拍响一下，我想大家可能都去欧洲这个关键是这个有行动力的这个听众要跟着我们这个会员计划给的这个游这个路线去考察。
[68:40.080,68:43.750,0]  一定要尽力新生实地的去考察。
[68:44.580,68:58.950,0]  嗯我，我现在突然想起来，第一次我听到奉国寺的名字应该是丁瑶告诉我们的不要那时候还很年轻，虽然爱死好多现在就那003多少然后。
[68:59.080,69:18.180,0]  对对，对，就是那那那次中饭，然后丁延定要特别激动，然后跟我讲就感觉这个事好像工匠完全设计有中州现有中心点有视觉中心，然后所有的东西都都是就像圆规一样画出来的就完全设计无氧，每样都是给这个。
[69:20.040,69:25.730,0]  就就能给参拜者带来一种震慑，他就空间营造的多么完美，就。
[69:25.960,69:45.310,0]  我我记不太清，他说什么，但是他所有的神情，我现在都记得就那餐饭吃了，什么也不记得，就这个名字和他当时的手舞足蹈的那个样子，那个那种兴奋，眼睛里的那个光就让我下觉得我要去我要去我要去，然后就N次，错过就就没有去最后一道。
[69:45.380,69:46.870,0]  我去的时候。
[69:47.160,69:55.400,0]  就我只有好大概看这么多，我应该说还挺挺激动，自己挺容易激动的人，但是有两次让我突然中西方。
[69:55.590,70:6.170,0]  穿越的就是两个地方，一个是云岗石窟，然后我想起了西方的哥特式的教堂，在一个让我想起希望教堂和那种高耸建筑的就是。
[70:7.650,70:18.240,0]  就是因为它的参贷空间真的是这个礼佛碰见弄的太完美了，所有东西都在然后有有大象有有府是有。
[70:19.510,70:31.210,0]  就是让你有点我现在说的都已经有点急事隔得又起来，而且就特别赶就是特别感动，就是你，你想你想过一下就是那个感觉，呵呵。
[70:31.210,70:32.550,1]  呵呵，好。
[70:32.550,70:46.880,0]  对我不是这种风险，其实我有几次是这样的，比如说我，我见四川的那个，哎，叶的那个暑照相的时候也也有这个感觉，但是说东西方的感觉突然统一在你自己的身上，你突然想起，唉，巴黎圣母院这样。
[70:48.300,70:56.830,0]  大概是这么两个地方就给我一种东西方的那个穿越感六安的亚超越了空间的营子。
[70:57.970,71:0.950,0]  对心理的把握的这个。
[71:1.480,71:2.530,0]  共同点嘛。
[71:2.530,71:3.600,1]  是。
[71:3.660,71:18.580,1]  对我觉得这个所有的宗教建筑，不管是佛教的还是基督教的还伊斯兰教的可能都有想达到一种就是说你在这个气氛中，在这种这种氛围下，你作为一个凡夫俗子，你对这种神的这种。
[71:18.770,71:22.610,1]  系统差别女士会是会非常明显的。
[71:22.750,71:23.500,1]  感觉到。
[71:23.500,71:50.760,0]  而且当时当时那个粉红色那个老师还在讲说，你要仔细看，比如说这个七佛的手势的起落，就他们就左手都是在西昌，然后右手有一个首饰，然后你从东向西看就是他的手势是一点点往上抬的到了中心的这个佛的这个位置呢他他就开始到再向西间呃的时候就就又又往回路，就他整个是有韵律感。
[71:50.760,71:53.460,1]  嗯，这个我都还没有没有怎么住。
[71:53.460,71:57.930,0]  然后回来就把超人那个全境图片拿出来看，果然是这样的。
[71:57.930,71:58.530,1]  啊。
[71:58.530,72:26.790,0]  因为我们在的时候太黑了我，我光记得最后一天，我不是我们凌晨又去了嘛，就早上六点就跑过去就是为了一天终于是雨过天晴，然后我们要要去要去我说我都好像没有看清楚一直一直属于幻觉当中是一直好像被什么东西笼罩着我就是没看清楚，然后就就申请去看，而且还申请把那个所有的门都打开，那么这大门一个推开，那你设计的那个。
[72:26.790,72:28.580,1]  你是得到了贵宾的待遇了。
[72:28.580,72:32.370,0]  所以过补充说，我们一定要悄悄地去一次。
[72:33.470,72:47.840,0]  不经过任何园，因为听说了很多问题，呃，这个是吧，得去调查一下，想到这个介意介意着去一次从维护那个西路要到这个。
[72:48.280,72:54.210,0]  就是从患者要调跌落人间的感觉了，就期末的不是一直再说嘛。
[72:54.210,72:59.820,1]  是这样不，你可以想象，如果那里面都是这个这个算命的。
[72:59.980,73:5.550,1]  这个都是这个什么的，那你这个肯定你这个一个是感觉就不好了。
[73:5.550,73:19.030,0]  嗯，我现在就在说七佛本来是不是印度那几个就过去，福建一直都是时间磨砺嘛，然后最后我等我眼睛落下来的时候，你看平安佛祖，呵呵，事业佛祖。
[73:19.180,73:29.810,0]  好像也告诉我就崩溃了，我网友们跟我反馈就是说说这个跟最低下各占一。
[73:32.130,73:34.700,1]  让你各站一块儿对是吗。
[73:34.700,73:37.840,0]  每个地铁站一个人让你求什么就拜神。
[73:38.260,73:40.610,0]  这种很很出黎。
[73:40.830,73:50.800,0]  跟我们嗯，观众自己这个私下去考察游览跟我们在这儿忽悠的这种感受的不一样。
[73:50.800,74:0.580,1]  嗯，那那那，那这样的就叫对不起大家，这个这个这个保单要把这个说这么好，咱们感觉这么好，在这一去以后这个如果让关注温州的。
[74:0.580,74:2.970,0]  因为有个心理准备，不要太大落差。
[74:3.920,74:10.040,1]  还有一个呢就是什么呢，还有就是您要挑那个就是说两头去救人还没上班的时候你就去了。
[74:10.670,74:23.360,0]  当然那个不是当然就是听我们节目报折我们这种这个仿古比下关的这种心理的听众也不会也不会这个受这些影响，但是就很烦人咯。
[74:24.910,74:25.910,1]  对这个。
[74:25.910,74:30.990,0]  实际上学校我觉得没什么就像我们在台这个佛教美术有多么多么的。
[74:31.230,74:57.810,0]  好多么动人，但实际上你想信中，其实大部分就是就是球彩球立秋对啊，求精啊，这些备份性肿瘤也有那个也有那个当然就是我说只要你你信的人多了，或者说在这个群对多了肯定是有各种各样的人，所以没有必要说看到看到这个，这个就素质高，或者那个素质的，其实都是。
[74:57.900,74:59.910,0]  都是都都是人就会。
[74:59.910,75:45.190,1]  就是想在我们是因为我们不是从一个宗教的角度来讲，这个建筑我们是从一个这个呃，艺术欣赏的角度对欣赏角度来说，这个那个当然，这个我觉得每个人去肯定跟个人的感受，肯定都是因人而异，不一样，也跟你个人的经历呀，或者你个人的这个知识储备啊，什么都有关系就跟如果我没去过巴黎圣母院，我肯定想不到这东西跟巴黎圣母院去怎么去怎么去去类比，对吧，这肯定是这样的一个情况，但我觉得就肯定就是说呃，起码我我归纳起来几点一个这个关外有这么一个聊过，那肯定是出很多人的意料的，另外进了这个这么大聊过你们里面的原生态又是出乎很多人的意料的对吧，这两个一出乎意料肯定是没有没有，没有，就是没有疑问的。
[75:45.190,75:58.980,0]  嗯，关外唯一的这个就是关爱最最最古老的一个木木弹幕做了吧，木结构建筑对基本上是为也是唯一的吧，又是唯一的就是最古老的。
[75:59.170,76:3.450,1]  对关外我不记得就是看山海关以外，东三省还有什么老的木作。
[76:4.850,76:7.760,0]  对呀，有金的吗，有资金的吗。
[76:7.760,76:25.640,1]  那就是剩下，另外近期没有没有都没有新中国这个像一金都没有，只有这个医巫吕山这边那是那个北镇庙是纸质清代的兜兜明代的都很少，这个大有一点特别的就是咱们这次也是应该跟关注分享就是聊塔，这个是哪个学区非常多的。
[76:25.810,76:31.210,1]  而且非常有意思，可以看的到我们这一圈，我算算我们看了大概有八呃。
[76:32.740,76:33.540,1]  八个聊天。
[76:33.540,76:35.400,0]  嗯，差不多八点，锦州的。
[76:35.400,76:37.250,1]  对锦州的朝阳是吧。
[76:37.250,76:43.140,0]  嗯，好，谢谢你没看了吧啊，谢谢你现在现有呀就是离那个。
[76:43.140,76:51.210,1]  对完了一到五到内蒙，内蒙看那条汉奇的对吧，如果大家走在远点，可以看见辽上京的辽中京的。
[76:51.210,76:54.210,0]  嗯，刘胜军那个圣君中间的真是精彩。
[76:55.070,77:3.790,1]  尤其是辽中京辽中金的大明塔是和这个高度说排全国第三，那个是也是非常高，大概有80这个。
[77:3.790,77:5.670,0]  那么您服务调也很精彩啊。
[77:7.530,77:8.590,1]  所以这个大。
[77:8.590,77:11.320,0]  嗯呐，五点可能以前都很精彩，我就不。
[77:11.320,77:18.620,1]  这个那个竹子，你会你会把你会把咱们的路线标标出来给给那个什么你你试试图标传成功了吗。
[77:18.620,77:35.430,0]  对现在我们没有去的，因为因为我觉得我们走了一圈，挺好，只是我们时间当时受了点限制，我们对我们少了一两天没有完成，实际上期话里是都有的，比如说应该上京中京这样一小圈逛下来，能够看很多很丰富的。
[77:38.040,77:45.260,0]  几乎是就是如果我们主题一点主题化一点话就是看到很多聊他然后包括博物馆。
[77:46.260,78:18.240,1]  对这一圈我觉得真的是就是说可以可以命名为这个辽代这个文化艺术之旅，真的是差不多这而且这个撩查咱们可以双的双的六角啊，八角的完了完了就有修的很好也很残破的有在修的都都都都基本上都有完了，这还有这个地上的地下的文物，所以这一圈实际上建议就说其实也不是很远，大概你不用有有五千五千足够都能够跑下来。
[78:18.800,78:49.620,0]  对，而且经常有出乎意料的这个地方，比如说我们在看锦州的这个那个广西色那个卡的时候，旁边不是正好是锦州市博物馆嘛就我也在锦州待过几年也也完全就没想到那个博物馆里，然后正好是零五年出的我印象最深刻的就是零五年，凌海出的那个那个辽牧阳理气，当时我们在教那些石板标化就实时版画和他的电影图啊，什么出行图啊，什么谷悦途啊，和那个。
[78:50.500,78:51.670,0]  行华还。
[78:51.670,78:56.260,1]  嗯一点对有点事先挂吧，那下八里辽牧对都是辽代。
[78:56.260,79:13.290,0]  对对对包括我们在这个这个朝阳的北塔吧，不是北场北塔旁边的那个博物馆，那也看到北塔里的公出的那么多好的东西，还看到偏向还看到小聊够顶天谷啊天空。
[79:13.290,79:18.090,1]  所以，所以这次对我来说其实我也是对我也是这个第一次。
[79:18.320,79:36.620,1]  第一次等于感受到的这个辽代的文化在那一个圈，因为平时说再能接触到辽代文化的其实并不是很多，但北京有一些啊，这些这些有一些北京有一些，但是并不是很多，但是这个地区的确是，而且我觉得自然风光也也也算是不错。
[79:37.100,79:42.930,1]  那个赤峰那边对，所以我觉得这个非非常这个建议大家能够跟着我们。
[79:43.130,79:49.320,1]  就给我们等于打个前站可以这个听友们可以跟着我们的这些东西去也也在来走一圈。
[79:50.240,79:51.760,0]  我们今天就聊到这儿。
[79:52.880,80:18.500,0]  那么这一期的B下关就到此结束，感谢收听，也希望大家喜欢我们的节目逢周四上线，推荐大家使用泛用型播客客户端订阅收听在第二关点com可以找到一每期节目内容相关的链接供大家艾特手机，您也可以在微信新浪微博关注比亚关我们非常欢迎您以各种形式给我们提出意见和反馈，如果您喜欢发邮件，我们的邮箱是毕教官sipan点开I。
[80:18.610,80:20.670,0]  呃，那现在还有会员通讯。
[80:21.220,80:24.500,0]  针对会员呃，更详细的内容。
[80:24.760,80:27.060,0]  作为我们每期节目的补充。
[80:27.450,80:31.265,0]  呃，同时也欢迎收听ipm播客网络旗下的。
[80:31.265,80:38.990,0]  其他节目IP公共卫视到博智那个洪荒差一来的流星通信还SAR印象五翠园和选美后面下中学。
