[0:0.165,0:5.010,0]  大家好欢迎收听地下关我是IBM包括网络的不2万如一
[59:38.270,59:44.790,1]  这个栏杆是如果有的不是在导入嘛所以它不是有但是人是指飞过来飞升到子就是
[59:45.920,59:50.660,1]  那没有了那还是还是合理的所以这就其实解释了为什么是一个没有答案
[59:53.170,59:55.980,1]  但是我觉得我我知道这个呃一
[59:56.090,60:0.920,1]  这个这个责任岗这个一发现然后这个忘喽是吸引了很多数据尤其是
[60:1.020,60:2.770,1]  呃就研究古建
[60:3.040,60:11.170,0]  因为这个因为他这个这个就讲到这古建呢因为因为南北朝时期的古建筑没有一座真实的这个
[60:12.390,60:16.590,0]  键主流的流程到现在所以我们在这个
[60:17.060,60:29.590,0]  想象这些南北大学建筑风貌的时候只能通过这个另外的这个形式比较壁画呀绘画这种来来或者是模型什么来推测所以这次就给我们一个比较清晰的来
[60:30.340,60:47.650,0]  想象就南北朝时期股价而且它的这个画面画得比较写实所以呢能够看出一些南北朝时期古建筑一些北区是一建筑的一个风貌吧但这里面也有些大家可以这个争论的地方比如它的一些到底是不是出斜拱啊他的这个是这个
[60:47.650,60:55.370,0]  这个门楼到底是五间啊还是三间啊这个都是我们这个有些这个专家学者有有有争论的一些
[60:56.300,61:13.080,0]  除了我觉得除了这个有争论包括这个它上面那个天就是那个墓道壁画最上面那一层那那些怪兽啊什么这些东西到底比方说有的认为是这个是山海经里的一些一些一些传说或者还是别的什么这个也也大家有一些这个
[61:13.330,61:20.990,0]  有一些不同的就是看我的感觉吧都都是一个大混杂什么都有什么元素都有那就是拿来主义忍
[61:22.430,61:27.010,1]  嗯我觉得我觉得法师对本本地处理可能是挺自由的嗯还有
[61:27.080,61:29.510,0]  呃设置an
[61:30.140,62:3.870,0]  可能我觉得这感觉可能还比较靠谱就是说这么大规模的这个墓葬壁画它肯定是有许多画师分工完成的就有些话实话这一部分有些话是话另外部分如果你很明显比如说你前面出行图你画人物画马批的可能是呃一批画师哎你后面这个勾勾了这个涟水不够了这个风景山水的这句话时哎你话前面那个那个望楼的那么细细致的表达建筑形式的又是屁话时你话天气的这些这些神兽这些嗯可能又是另外的话是
[62:4.030,62:28.990,0]  呃他这个有有意思发现就是大家还记不记得这个选项没里头有一个有一个特别有名的这么一个形象他应该是在那个妓院吗他在这个吹奏他手上那个笛子的乐器漏话了如果是一个画师这么划下来他肯定不可能漏话他应该可能是分工的就开脸是一些人画画身材是一些人设设置一些然后化学乐器的又是另外一批人所以可能就这么分公话
[62:29.450,62:31.860,0]  这就说明当时北齐的这个话扳子
[62:32.070,62:39.610,0]  已经非常成熟了就是应该是这么一个特点你在汉代壁画就看不到不一定看到这样的情况
[62:39.610,62:42.790,1]  但是如果如果这么说的话那你觉得楼任务呢
[62:43.640,62:49.080,0]  娄睿墓我觉得应该也是分工轮牧由他的水平比较高你们看到了吗
[62:49.260,62:58.630,1]  嗯这边有没有起跑线这一块因为你知道就是一开始呃萝莉不被把这个美术史家门给践踏了之后大家首先想到的说这
[62:58.860,63:0.200,1]  应该是这样子吧
[63:0.970,63:8.490,1]  哼对所以那就是他如果是一个班子的话那那可能是杨子华就距离有点远
[63:8.960,63:12.600,0]  这这是有可能他那个这个导演是杨子华
[63:13.840,63:19.230,0]  你像那个西方化这个壁画宗教帖子那卡拉瓦乔什么他们都是施工队
[63:19.500,63:20.700,0]  就是工作时间
[63:20.700,63:27.820,1]  不是不是不是就是班子还是就是一个一个组织吧就是但是但是杨华它应该是一个宫廷画师吧
[63:27.930,63:34.450,1]  嗯那他他他也只能是带领一帮宫廷画师啊这样就算是一个班次的状态对
[63:36.030,63:44.240,0]  因为杨子华至少也能成为杨子华因为它也是肯定有一批这个以同样风格的同样划分的这么一批化石他只是里头最杰出的疑问
[63:46.300,63:58.455,0]  我觉得就跟那个咱们咱们上上期讲到的那个曹仲达一样因为曹仲达跟杨子华都是那个时期的话假对吧这个体量的工作一个人很难完成
[63:58.455,64:2.020,1]  嗯又又再次超越那个炮溢出水是吧
[64:2.200,64:7.350,0]  嗯呵呵I
[64:7.350,64:14.220,1]  意思就是呃北芪这俩人的名字真是如雷贯耳但谁也没见过他到底爸爸的什么样
[64:14.740,64:19.750,0]  但是那那个不是有那个北齐校书图不是是临摹的吗
[64:20.670,64:32.400,0]  对就是大家觉得因为教师图现在我们看到了看书或者酵素都是北宋的模板就说里头您说在画风上了就是说在比法上其实不一定很忠实的
[64:33.980,64:47.830,0]  松鼠渝北区的援助但是有些特色上你才能看到的比如说啊我们看教师图上的这些人物的这个脸型啊我们就和这个娄睿墓和这个维尔港务的那个对非常像就是那种大的这种
[64:47.830,64:48.770,1]  卵圆形的
[64:48.770,65:7.080,0]  公园里教书图也是你像这个你看同时期古代绘画里啊就是同事送模板或者唐摹本力你看消除还是比较生动的人物动作之间的关系就是她人跟人之间是互动的就不是所有人都呆板的站在那儿互相看着
[65:9.120,65:40.740,0]  就是反正就所以所以说我就说我们又回到这个这个不管是杨华还是这个曹仲达我们现在没法目睹他们的针剂但是我认为这个风格的影响肯定是非常显而易见但是具体是他们本人或者他们的地址换了那这张这个是永远不能得到一个确实刘瑞墓壁画这个问题是面试以后为什么引起这么大的轰动美术界突然发现哎我们现在总算能理解我们唐代唐初的这些人物画的这个
[65:40.810,65:51.480,0]  源流从哪来的那现在就还有一个问题没有解决的事那我们北齐这些都被壁画的这个原料又在什么地方呢这是一个到现在还没有系统的问题因为河北喂的太
[65:51.480,65:53.220,1]  就像是合同出事了
[65:53.550,65:55.530,0]  是啊那可能就是这个
[65:55.530,65:58.860,1]  嗯佛教美术可以说我们啊这个
[65:59.160,66:8.560,1]  许多的东西贷款入但是这个挺满的这可能也还跟我觉得是不是还是跟跟这个区域的文化创意传播有关系
[66:8.930,66:23.800,0]  这个好多东西是相互交流的因为不可能有什么东西是就说是不受外界干扰而自我就是一直封闭的这个发展即使这个华夏文明带有一定的这个封闭性在里面但是我觉得古人的这个
[66:24.060,66:30.400,0]  这个中西方的这种交流肯定是远远超过我们现在的想象我一直有这样的一种一种
[66:31.390,67:1.480,0]  呃我有这样一种看法吧我是这么认为的因为任何东西出示不可能是不可能是空穴来风横空出世就突如其来的这么这么出现了这样一种什么风格或者一种这个肯定是有一定的这个只不过这个前因后果我们现在因为历史的这个尘埃把它把它给断掉了我们找不清楚但是随着以后就考我的这个发觉多了以后这个这个断片儿的这个东西肯定会能追着你看我说一个例子你看那个北周里
[67:1.490,67:6.950,0]  每周的那个李贤夫妇合葬墓出的那个波斯的那个刘金银湖
[67:7.180,67:12.970,0]  上面那个人物你你就北提肯定也能接触到这种艺术啊同时期的
[67:14.510,67:19.620,0]  这种西方对人物的描写对人物之间这种课换
[67:20.360,67:28.730,0]  就是你看那是罗马嘛他就其实是每周就能接触到那北齐我相信一定也能接触到这种衣服所以肯定还是
[67:28.760,67:51.410,1]  有一些互相用但这个还是其实是有在研究的就是太多的空白太多的未知的东西所以也不好就是现在就随便下结论因为你看呃于红木的东西于红木的那个怎么这样就是完全不相干的你没有任何其他的呃就是同类的东西可以比较可以摸索出线索这东西怎么演变的就是好像又是一个名字的东西
[67:51.950,67:59.965,0]  但是呢但是但是另外就说我我觉得也是可以这样看就说因为比方说余红木的东西跟呃
[67:59.965,68:13.230,0]  其他发掘的一些先觉的一些墓葬来比你能看出他有一个不断汉化的一个过程比如像那个陕西那边出的那个史军鼓还有一些它也是一个那种但你能看到它里面有有不断的在一些
[68:13.230,68:20.440,1]  没有办法的因素但是于红木是一个完全不汉化的名字但他那个屋顶是看画的图这样就不怕
[68:20.440,68:43.555,0]  那个于洪目的那个图像的那个那个我见过是纯汉华的就是呃不是就纯那个中原的那个题材的就是一节课的题材的不是一点那个速特一点锁了两次刀掉的那个影子都没有就全是汗这个中原题材但是行至跟于洪那个材质设色然后那个雕刻工艺一模一样
[68:43.555,68:48.980,0]  就是听你你说是哪儿呃这个不知道能不能在这个里边儿说完事底下看的
[68:50.410,69:0.660,0]  你是哪的东西就是河北山西一带出的底下看着这你说你说你说你说在私人是不是他除了头像
[69:0.660,69:5.520,1]  你问他没有其他是是是可以可以判定为抑郁的东西啊
[69:5.520,69:8.200,1]  那他那个什么形式形式汉是的
[69:8.840,69:15.310,1]  所以说你说如果图像也是主要还是很正常啊头像也知道但是样子也很屋顶还能就是陈汉区吗
[69:15.310,69:21.060,0]  一边你看你讲到这个那个就国博里面陈列的那个我上次问过你吗那个
[69:21.060,69:21.520,1]  对对
[69:21.520,69:30.800,0]  哎对那这个汉化的很厉害是日本拿起来的一个一个东西对那个就是看出有也还有西域的影响但已经开始
[69:30.800,69:37.860,1]  不是很有意思我专门把自己拍下来就是他有那个有有一看就是胡人高鼻深目卷发
[69:38.030,69:46.120,1]  然后在那儿跳那种店门口这票应该叫什么服务学还是胡同五啊就是那个男的应该叫的是胡同是不是
[69:47.620,69:58.200,1]  然后也有也有那个拜火教的那个因素有我我看到好像有拿这个这个和什么炉子还是什么之类的我现在不太记得记不太清楚了
[69:58.200,70:27.290,0]  我记得但我觉得有关的我不知道你们同意不同意就是我看了一些好多那个就是我看到的先觉就是关这些东西他们一般都是出现的这些异域的风情都是出现的男性形象里面女性形象大部分还都是中原的风格尤其是这个国国内流量就就这样是不是意味着其实当初跟这个社会环境有关系当初好多来做生意的人他们都是不带女人他们都是男的过来对SF说到这儿
[70:27.290,70:40.310,1]  我我必须开具就是你说的这个地址呃有一个有一个科学依据是印证了你说的这些呢就是鱼红木的那个也有他们的姑父对于红木恰当丰富的一股都是被出土了然后
[70:40.470,70:44.850,1]  就是那个吉林大学有一个非常考务中心他们
[70:45.190,70:50.000,1]  在那个实验室里就分检测这个羽绒服付的这个弥补然后
[70:50.120,70:51.160,1]  嗯
[70:51.230,70:56.330,1]  一看结果呢就于洪的DN是顶层的这个CR
[70:58.330,71:1.880,1]  在北京类型就是他是现在分布在塔吉克斯坦那一带的
[71:1.950,71:7.750,1]  就当时是宿舍人定居的地区的那那个那个特有的那种BN背景然后他的
[71:8.520,71:10.030,1]  在那个夫人呐
[71:10.060,71:13.760,1]  是是是的笔试中远亚瑟东亚人
[71:14.090,71:19.130,1]  所以就是在这样这样子说了他是一个商商人或者说是
[71:19.170,71:23.950,1]  呃初始的这么一个人因为于洪大师是电视跟着不怕出事
[71:25.960,71:27.660,1]  对然后在这儿长期订
[71:27.660,71:37.740,0]  他那些就是说所以很少发现他们这个就是这种就是宿舍人的妇女的这个女子形象在这个在这个所遗留的这个先觉的或者各种
[71:39.580,71:52.350,0]  但是这个男子是靠湖宣武啊喝饮酒包括那个就是说呃讲到的这个在波士顿美术馆的那个出土的就哎你是安阳出土的几片那个关床的那个唯品
[71:52.500,72:0.020,0]  呃裴为萍也是这个这种就是电影啊跳舞啊很很像但是这个都是这个男性的
[72:1.330,72:4.690,1]  那叫什么什么什么帽石关是吧
[72:4.870,72:9.340,0]  不是不是不是不不冒关是陈汉是的哦
[72:9.570,72:13.300,0]  那也是alley
[72:14.070,72:20.440,0]  那宁老师是倪老师史那是北那个就是还有几块那个关闭嗯就是那个关藏品
[72:20.780,72:41.605,0]  就是说是但这这个就是很有意思但是这个我们就不展开说但是我觉得夜间提出来一个特别好的一个是什么呢就宁老师是北魏的这是纯汉式的但是你看到北区以后一下子就出那么多胡风的这些艺术这这就说明如果汉化汉是是一种趋势的话我们可以看到北区
[72:41.605,72:43.620,0]  完全就是对这种汉发的一种方法
[72:44.440,72:53.480,1]  这确实也是当时的一个历史背景吗就是因为北北外的时候是确实是他们拖把是旧历主吗就是全面汉化
[72:53.840,72:59.690,1]  随便画画之后造成的一个恶果就是这个论题呀因为鲜卑贵族就不干了吧
[72:59.980,73:10.780,1]  他们收到了这个各种不公平的待遇他们就然后就40几了60级之后导致的是北朝晚期是前面的又反动回来就是全面的又又又又先规划
[73:10.930,73:12.250,1]  或者是胡话
[73:12.780,73:15.130,1]  就是完全抵制汉化的这个这个行程
[73:15.510,73:19.540,1]  嗯我觉得北北朝晚期的这些我们看到这些
[73:20.080,73:23.250,1]  各种文化交融的这个局面跟那些有一定的关系
[73:23.800,73:30.910,0]  那是不是也就这样就产生了北齐那么那么今天我们看来那么奇葩那么那么那么那么光彩照人的艺术
[73:30.910,73:34.080,1]  嗯我觉得这肯定是有非常非常重要的
[73:35.300,73:41.040,0]  你不是只不过我脸皮都容易这个胡话然后艺术繁荣
[73:41.570,73:52.260,1]  哎不过对刚才忘说了我刚开了一个头没说就是其实为什么说这个娄瑞娄睿墓的这一块是是我们目前看到的顶峰吗他这里可能
[73:52.270,73:59.170,1]  比我们在文章看到的还要这个更精彩或者甚至认为就是这就是美奇的发生杨子华华的
[73:59.230,74:1.810,1]  其实有一定的有一定道理的就是
[74:2.010,74:5.760,1]  这就不得不说楼日本人啊老师本人这是一个很有意思的人
[74:6.080,74:8.940,1]  呃他其实个人就是一个
[74:9.400,74:13.160,1]  就是一官二代他是一个很很无能的人
[74:13.370,74:15.060,1]  但是呢他的
[74:18.210,74:24.950,1]  还都是很有出息的他的叔叔叫娄朝是当时北区一个大很很有权势的一个家庭
[74:25.290,74:27.660,1]  但是更重要的是什么是他的
[74:27.730,74:30.000,1]  姑姑也就是它附近的
[74:30.300,74:33.500,1]  呃姐姐还是妹妹这个我还没搞清楚叫娄昭君
[74:33.670,74:36.960,1]  啊这了不得了不得了不得了这这个就是
[74:37.030,74:39.480,1]  嗯整楼太后
[74:40.280,74:42.830,1]  他是整个北极一潮
[74:43.390,74:45.020,1]  其实他说了算说白了
[74:45.780,74:46.770,0]  所有皇帝
[74:46.770,74:53.650,1]  所以这个输一下他的关系啊他是谁啊就是它娄昭君罗昭君的年轻的时候就慧眼独具
[74:53.990,75:2.580,1]  然后就说是就说是自作主张就嫁给了那个高分当时刚刚还是一文不名的就是是一个就是一个屋吧
[75:2.690,75:8.840,1]  然后他就看中他了他就说这人家聊的就非要价格然后从此一步登天
[75:9.020,75:9.980,1]  车对
[75:9.980,75:15.630,0]  高高攀就是高攀就是凤凰对不对然后呢现在有这个故事
[75:15.630,75:21.380,1]  不不你听啊还没吃完这很复杂这个楼房后就成为楼房后之后你看吧
[75:21.650,75:27.950,1]  首先这个高官就是北极的开国啊是人家是是是她老公
[75:28.150,75:30.070,1]  然后呢生了六个儿子
[75:30.300,75:31.500,1]  其中有四个
[75:31.860,75:37.110,1]  是是北北区的接下来的几个房地它首先是高层
[75:37.950,75:41.115,1]  高层其实也不是正式当兵的他但是他是那个
[75:41.115,75:44.720,0]  高中没当皇帝essay封为王
[75:44.720,75:45.870,1]  开封市蚊香嘛
[75:45.900,75:50.890,1]  对他是钢高层是高仿的想死然后他杀了以后呢就是高阳高阳就开过房没有
[75:51.370,75:52.900,1]  对吧朝阳是文轩
[75:53.800,75:58.420,1]  这是子然后呢接下来是高演着演是校招
[75:58.630,75:59.870,1]  嗯然后高战
[76:0.880,76:6.050,1]  这是他的四个自个儿子六个儿子有四个档老母然后然后是谁呢
[76:6.100,76:11.580,1]  然后是高阳的长也就是他的长相呃四子的掌掌子
[76:12.060,76:13.550,1]  嗯对他的孙子吧
[76:16.640,76:17.550,1]  然后呢
[76:17.630,76:21.340,1]  后主高纬是谁呢是高占的是五成的
[76:22.270,76:25.180,1]  然后又煮高层就是高伟是就是
[76:25.980,76:31.450,1]  北齐一共八个皇帝一个是他老公四个是儿子两个孙子一个公司
[76:32.110,76:36.330,1]  就是全是他的呃这个直直系亲属吧应该这么说
[76:36.660,76:40.930,1]  啊所以娄氏家族在这个北芪那就是
[76:41.230,76:44.030,1]  如日中天不就是权倾天下应该是这样
[76:44.520,76:50.930,1]  然后呢楼瑞是他什么人楼也是他的侄子就是小侄子哎就是很受宠爱的女子
[76:51.110,77:4.540,1]  那所以他他根本停用舞台然后这个估计还是这个没干什么好事但是因为这个绅士就过了重庆就一辈子纵情彩色然后他的几个兄弟什么的也都基本都是这样
[77:5.330,77:18.650,0]  对呀这个楼热全是很大他不光在这个晋阳他在跃层也有视力我们上学期谈到那个灵泉寺现在零钱是外面那个还有一块大呗就是这个东安王娄睿给力的呗就说明当时罗瑞在林泉寺还有这个
[77:20.730,77:26.160,1]  特别了解还有一个能看出来的就是说楼瑞根徐锦绣是
[77:26.190,77:28.810,1]  那个前后脚子龙瑞仙府
[77:29.440,77:34.650,1]  第二年最后这两个人一个是东安王15万网但是他们俩的这个墓葬
[77:34.790,77:40.550,1]  呃这个规模出土的器物然后壁画的水平其实还是差别蛮大的
[77:40.890,77:44.140,1]  就是因为这这个楼有共同关系虽然
[77:44.280,77:46.310,1]  虽然其实人本身不懂
[77:46.550,77:47.810,1]  对对能够
[77:47.810,77:54.110,0]  我想问一下那个就是那个闪就是山西省内博物院那两个那那木门市楼
[77:54.110,77:54.930,1]  脸瘦了
[77:54.930,77:56.060,0]  去选秀的木门
[77:56.860,77:58.620,0]  就木门是有浮雕版
[77:58.620,78:4.650,1]  SFR的那个东西是吧这个是吧扶风的改成了汉是好像是
[78:5.160,78:20.100,0]  对大所以因为因为我觉得这我们的听众听了以后可能会对这个牧非常感兴趣但是非常遗憾的就是这个咱们讲到的这个选秀跟那个龙瑞目现在目前哈都不知道是哪个都看不了只能看图咱们今天
[78:20.100,78:27.730,1]  这次讲的就没有开放了吧就是上上一讲我们还安排了一个行程这个就干脆你就什么也别安排了就是就只能是
[78:27.730,78:40.060,0]  看文章和那个如如公主对博物馆里呃博物馆里还有些这个河北省博物馆有一些这个文章的歌如然后山西省博友楼瑞的那复制品
[78:41.220,78:51.820,1]  我们接下来其实可以在我们的这个微信公众号我们在中国都还有个那个支付状态都可以发一些这个这张图片因为我拍过一次还是挺难得的
[78:51.920,78:52.910,1]  可以分享
[78:54.140,79:0.250,0]  另外就是说如果看些原物就是一个复制品还有一个就是这个那两扇木门算是真实
[79:0.250,79:0.700,1]  对对对
[79:0.700,79:4.020,0]  我们还是要那个第一期一样发高清图给
[79:6.210,79:8.060,1]  我说了半天观众读者人体
[79:8.060,79:20.450,0]  公众好吗同志对不起呵呵所以我就说我们我们这聊得热闹也必须给的有兴趣的听众一些真实的感受而不是只听我们这个
[79:20.450,79:21.250,1]  嗯家百货
[79:21.250,79:22.950,0]  哎牙的这个在家啊
[79:24.310,79:34.220,0]  到底怎么好因为呃娄睿墓好像也出了一些画册呀什么我不知道体检项目有没有出过那个有有一个比较薄的一个不是特别的
[79:36.820,79:37.720,0]  哎那个
[79:40.200,79:44.110,0]  前几年在央美办那个山西壁画展览的那个
[79:45.640,79:50.780,0]  啊那是拍了一些嘛那个照片对吧开了很多高清拍了一些照片
[79:51.350,79:52.590,1]  咱们手里应该有
[79:52.590,79:53.440,0]  啊
[79:54.860,80:0.690,0]  对这个遗憾的是这个之前项目的考古发掘报告到现在还没出呢
[80:0.690,80:4.230,1]  刘瑞初八他们投瑞的那个出的是很干净
[80:4.810,80:14.960,0]  还有一个就是补充一下就是九元港那个还是2014年呃十大考古发现唯一就是山西省被提名了一个无法
[80:14.960,80:16.090,1]  但是最后没上
[80:16.110,80:22.900,0]  我觉得没评上的一个很大原因就是很遗憾就是就没有物质了发现所以他没有定论到底
[80:22.900,80:26.910,1]  现在也只能说是北朝晚期还都没法说肯定是北
[80:28.400,80:36.650,0]  所以这是非常遗憾的一件事情其实木质是聚齐老师说这个木质实际上是是有人见过的而且这个木质是
[80:38.010,80:44.070,0]  只能说是在底下吧这个按照小人的话来说是在底下见过那在在国内还不知道
[80:47.090,81:1.520,0]  哎太悲哀了中国人那个瞿老师因为因为这个是这样的因为你即使现在离开了以后你就是这如果就跟就跟这个那什么你没有直接证据证明他是这个的话你即使找到了就学的这个
[81:1.520,81:2.540,1]  是是没错
[81:3.250,81:6.230,1]  没有铁证吗就是这只凭凭嘴说的
[81:7.790,81:19.020,0]  所以这就是这就是考古跟盗墓之间最大的区别虽然他们都是最终的目的都是把这些东西从墓里面取出来但取出来的过程手段不一样所带来的这个价值
[81:20.590,81:24.300,0]  所以这就是另外咱们回到最开通运营讲的就是
[81:24.410,81:36.010,0]  不管一文物移动还不可移动其实他的这个归属感有时候还是很重要因为你这这块墓志铭以后搬到你家就搬到他家去但最主要的要知道这墓志铭从哪来的很重要
[81:36.720,81:38.420,0]  最后班的谁家无所谓
[81:38.610,81:47.670,1]  那个本机的列关注到别墅感觉中间也希望大家喜欢我们的节目每周四上线推荐大家使用泛型拨通软件收听
[81:47.980,81:56.930,1]  在地下关点com可以找到于每期节目内容有关的链接送大家按图索骥您也可以在微信和新浪微博关注下官
[81:57.250,82:3.910,1]  我们非常欢迎您以各种形式比较提出意见和反馈如果您喜欢发邮件我们的邮箱是地下关爱
[82:6.500,82:12.150,1]  同时也欢迎收听ipn多次网络旗下其他的节目安心公论为制造
[82:12.340,82:16.090,1]  博物志那个古方太一来了流行通讯
[82:17.400,82:19.810,1]  影像无资源和选美
[82:20.200,82:21.350,1]  我们下周见
