[0:0.220,0:4.595,1]  欢迎收听并下关今天势必霞光的第16期大家伙事业编
[61:8.530,61:10.930,1]  嵩阳书院应该也是晚的很晚的吧
[61:11.580,61:18.790,0]  苏ees天下什么天下之中那块呗在所有书院吧
[61:19.700,61:23.370,0]  唉对对后面那个横着的人
[61:25.460,61:28.580,0]  他建筑虽然很晚但是因为它这个历史很长吗
[61:28.850,61:44.850,1]  哎其实很有意思就是你们刚才说的时候我想到一个什么呢我就想到我记得有一年的那个故宫的武英殿展呃我正好看到一个就是黄奕就是清代的那个那个金石学家他他有一个他发一个册页
[61:45.030,61:47.720,1]  换的是他那个叫松露访碑图
[61:48.260,61:54.170,1]  嗯因为我当时觉得很有意思就是换了很多中山周围的他去他探访的那些股计
[61:54.260,62:1.310,1]  嗯然后刚才我刚才去查了一下就是那个他的作业就是换哪个地方我看了一个很有意思就是换了
[62:1.620,62:8.220,1]  呃二十四处吧一共就是一个24伏的策特意然后类似于大多数
[62:8.650,62:17.090,1]  呃对对对当然不仅仅是中山了还是松咯嘛就是东阿嵩山和洛阳那个就是比较重要的估计就是说他去了
[62:17.300,62:36.290,1]  我们班确实要他基本上都提到了都去了都花了一小幅那个交警没有你看还有什么有这个少林寺肯定有上了一次然后开姆时却其实就是母亲缺因为它避讳吗逼迫汉景帝的那个名字呃然后会善寺嵩岳寺
[62:36.670,62:41.900,1]  呃什么老君洞你们还没交可能是也是山上一个道教的对的
[62:43.160,62:45.090,1]  然后这个
[62:45.290,62:49.440,1]  呃少室石阙中岳庙嵩阳书院
[62:49.680,62:51.320,1]  呃轩辕关
[62:51.540,62:58.210,1]  嗯嗯还有那个勾山就跟我说那个生鲜生鲜太累了对吧基本上全都去了
[63:0.790,63:7.080,1]  然后还洛阳的当然就还有什么像白马寺啊什么龙门石窟啊邙山啊这些
[63:7.800,63:15.340,1]  嗯还有那个有个什么因为它是搞搞这个就是仿那些背吗金其实呃对他还有什么那个
[63:15.750,63:20.000,1]  平等寺造像碑就是现在在偃师的那个饮食里面呃
[63:20.050,63:27.690,1]  当时好像也是在村子就像刘杯子一样是在村子里面的么一块被他他我我当时养生就是它它那个策略里面划的
[63:27.950,63:31.440,1]  就是他换了一个小村庄然后村庄的那个村头
[63:31.540,63:35.220,1]  有有三座呗就是只露了一个背手的在在地面上
[63:36.340,63:39.210,0]  但是这种只好像在洛阳城外很多
[63:39.510,63:45.470,1]  对对对对对嗯那这个因为它这个呗老妈就是北齐的那个三座大飞了
[63:45.820,63:56.350,1]  嗯行他其实等于是给出一个当时的就像上学时或者像拍照肯定挺像就是这个背的原始状况挺有意思还有那个
[63:56.600,63:59.980,1]  西晋辟雍碑是在那个那个太学那里
[64:0.370,64:3.370,1]  对那学校也还在原址也是一个国保单位
[64:4.310,64:9.940,1]  对他这个策略就很有意思是其实相当于一个一个一个索引或者一个路线图一样
[64:11.180,64:15.890,1]  现在对大多数还都还看得到还有十从什么都都都都去了
[64:17.740,64:20.580,0]  欧洲人当时换速写水彩画而已
[64:21.010,64:22.140,1]  对对对对
[64:23.270,64:30.520,1]  就是la这个松山其实今天学院徐霞提醒了我就是他说虽然中山市一个
[64:31.160,64:35.900,1]  像非常独特的古建密集的这么一个地方而且首屈一指的中国
[64:35.990,64:37.480,1]  我觉得以前真的没意识到这
[64:37.480,64:40.730,0]  而且其实挺难想象的河南这么一定河南老大
[64:40.730,64:52.890,1]  是啊因为我自己一直的印象就是说在河南已经很少有什么地面上的那估计比如说更别说这个木木木结构建筑现在想想其实松山还是非常独特
[64:52.890,64:57.160,0]  咱们老说河南四战之地吗谁打谁都经过它一遍
[64:57.360,64:58.955,1]  确实是这样
[64:58.955,65:8.770,0]  对而且你别说咱们讲到这个这个五月里面还就中岳嵩山留下的遗存最多其实泰山泰山其留下的东西并不多
[65:10.710,65:14.650,1]  哎这也很怎么说呢很特别啊就是有没有什么
[65:14.650,65:17.600,0]  我觉得泰山一个因为这个泰山好
[65:18.120,65:22.480,0]  不是泰山一个呢这个这个弟弟为这个在这个
[65:22.960,65:24.330,0]  一个南北这个
[65:24.680,65:30.870,0]  战乱很多避不掉了这个南来北往的都会在那儿那个什么所以他那的这个古建筑
[65:30.870,65:32.200,1]  中山正睡觉了
[65:32.380,65:37.540,0]  松山他毕竟其实松山我我觉得是不是山比泰山要其实还是要大一点儿
[65:38.050,65:47.200,0]  泰山比较孤立对对对所以他这个不容易终身其实非常的东西比首都圈进吧其实又又有点远他就
[65:47.440,65:50.320,0]  不是一个重要的重镇
[65:51.800,65:55.120,1]  那他毕竟是首都圈啊泰山的时候当过首都圈
[65:55.120,66:9.920,0]  没有了现在没有我觉得太山比较纯粹但他当然虽然是五岳之首嘛但是它也就是个五月这么个地位而东山不一样松山都是道教佛教的两个两大宗教的圣地啊这个这个地位就更不一样了
[66:10.260,66:12.540,0]  所以就在五月里头是非常独特的
[66:13.440,66:18.640,0]  就我就说摆在五月底的松山留下的这个历史遗迹相对来说最多
[66:18.700,66:22.410,0]  而且你能看到那么多早期的建筑这是非常了不得的
[66:23.810,66:30.400,0]  那么这一期的地下关就到此结束感谢收听也希望大家喜欢我们的节目逢周四上线
[66:30.490,66:34.030,0]  推荐大家使用泛用型播客客户端订阅收听
[66:34.340,66:39.730,0]  在背一下观点看可以找到于每期节目内容有关的链接供大家按图索骥
[66:40.190,66:43.810,0]  您也可以在微信公众号和支付专栏关注B下关
[66:44.330,66:52.770,0]  我们非常欢迎您以各种形式给我们提出意见和反馈如果您喜欢发邮件我们的邮箱是陛下关爱en.l
[66:53.390,66:56.880,0]  同时也欢迎收听ipn播客网络旗下其他的节目
[66:57.110,66:58.210,0]  一天世界
[67:5.170,67:6.130,0]  影像
[67:7.990,67:8.870,0]  我们下周见
