[0:0.310,0:5.270,1]  欢迎收听地下关今天势必下关的第九期大家好我是竹子
[74:59.380,75:4.910,0]  呵呵那当然了肯定要去过印度才知道印度到底什么样对啊就是
[75:4.910,75:7.940,1]  你尝试一次就就能接受
[75:7.940,75:10.950,0]  所以超人你赶紧来一次去一次
[75:10.950,75:15.510,1]  我一直想去我你没告诉我这次考察的那个具体行程
[75:17.280,75:23.280,0]  呃对呀我们基本上是前一半都是在莫尔的这个这个海洋里货运
[75:23.280,75:52.740,1]  你们那个朋友圈都傻了我说这完全是看木耳去了哪有什么佛教史迹啊哎呀这个怎么说呢就是因为阴差阳错因为我们这次呢是没有借助公共交通完全都是自己包车印度那个交公路系统还是不是特别发达嘛所以他大概我们最多能一天也大概也就走到近200公里就到头了所以呃再去佛教德干高原之前经过了大量的这个这个
[75:53.790,76:21.050,1]  其他地区所以就顺便看了好多默默的东西也挺好的其实其实ess顺道呗不是主主要是为了对因为你一天赶不过几天都赶不赶不过去就说他的这个就是说1200公里那天我们都已经是完全出乎意料谈lab经常其实一天就跑个几十个
[76:21.050,76:23.490,0]  时速因为大概是30公里
[76:23.490,76:26.130,1]  对对对就60公里已经非常快了
[76:26.900,76:53.310,0]  但我觉得我觉得这样其实喜欢印度就说印度因为文化遗存特别多就是我们的这个主题就是说你可以完全各种概念比较超人你喜欢看一散化的东西喜欢看这个比较木耳或者甚至更早他各种地区都有很多的遗传有些人比较喜欢看印度教的东西也有很多很多东西看其实相对来说印度一纯了很多东西的这个密度啊我觉得不比咱们嗯
[76:53.310,76:54.250,1]  比较多吧
[76:54.250,77:1.040,0]  嗯嗯对而且这个密度比你看咱们走好多地方看见好多承保咱们都不知道是什么其实这些东西如果你要有兴趣都可以
[77:1.040,77:3.110,1]  对对象ox的那种
[77:3.110,77:15.550,0]  对像什么咱们去那个本来咱们要去以为在英段附近有难度后来不说要绕很大一圈那满路那个地方其实也是也是一个伊斯兰化的一个城市而且是挺有意思
[77:15.550,77:17.860,1]  在山上是个山城好像还挺不错
[77:17.860,77:40.030,0]  对说是这个很多印度这样的这种小城市其实非常多所以好多地方虽然是如果有新人到印度去探索的话有很多地方可以去但现在咱们大部分都要走旅游点儿走这个什么德里金三角走横河做什么但是其实深入游的话有很多很多这个可看的东西大家可以个性所需的
[77:40.940,77:54.720,1]  对对对我记得司机还提过就是呃他曾经为国家地理呃服务过几个月就是也是过来过来做一个自然生态方面主要是看那个印度野生动物
[77:55.320,78:3.210,1]  对对其实我们路上也接了不少也行这种所以说明这个这个印度的实在是太丰富了
[78:3.210,78:15.850,0]  是咱们咱们这个看到什么也孔雀对吧也猴子这个这个女的这个很多东西对吧因为印度其实是他这个生态多样性还是挺松
[78:17.140,78:21.830,1]  大家没有这个饮食压力不不想吃力的豆腐
[78:22.690,78:35.860,0]  哎这点我觉得真是这个因为我看了恐惧我觉得我们在桑琪看到孔也孔雀对吧在那翻我觉得这个也孔雀很幸福啊我现在在中国他又不在自然保护区里面那还不如被谁顺手就给
[78:41.260,78:53.080,0]  对吧这个呃当然还有这个便秘的牛这个是圣牛是不能动的对吧还有这个呃是好多猪好像也很多就野猪是这样的这这个也没有人
[79:1.010,79:10.310,1]  在古代这个就是一方不吃一方不吃牛肉一方就不吃猪肉这样反而原因完全不同
[79:10.310,79:19.450,0]  所以他印度挺让我挺惊讶就印度这个菜里面很多的气就是很多的奶酪一开始我还以为这是豆腐呢后来才知道这都是奶酪
[79:21.220,79:28.310,1]  啊他有点像西藏的那个有气质跟蒙古人有关系吧跟这个蒙古突厥有关系
[79:28.310,79:28.940,0]  呃有
[79:28.940,79:43.510,1]  因为我觉得可能会更早因为这因为印度不断被这个草原民族征服吗肯定带来了但是那个气死还是蒙古人的这个习俗之类但是ore欧洲的梯子也基本是蒙古人
[79:44.200,80:10.740,0]  因为他们虽然不杀牛但是他们是可以这个吃牛奶所以相对来说他们的蛋白质的摄取量主要是来源于这个气死就奶制品很多所以给我让我感觉是在印度和那个奶啊都味儿挺挺挺正就是挺香好像这个呃还有就是没有像国内那样已经把这牛奶已经有效有效成分都提练了就剩水
[80:10.740,80:13.520,1]  哼故意牛奶
[80:13.520,80:24.060,0]  呵呵呃这这个虽然这个印度的饭啊这个它都是咖喱的这个是咱们大部分中国人是不是特别吃得惯尤其如果天天吃的话
[80:26.890,80:30.490,1]  你要不是家里的那种环境他那啥他素食了
[80:30.490,80:35.450,0]  有一点我觉得还是挺轻松我觉得我在运动一点都没闹肚子我觉得这点还是真是嗯
[80:35.450,80:40.280,1]  所以肯定以前我们看到很多报道啊呃我觉得还是有点
[80:40.640,80:58.140,1]  有点妖魔化了或者是有点有点过了反正通过这次的城市are都是些有在北京和上海的广州的这些这些小斯文的这些企业他们大概和我们的体验会不太一样
[80:59.920,81:2.810,1]  因为我们经常生活的杨文华还吃
[81:2.810,81:19.740,0]  一样的一样的我觉得这个我觉得我们当然有在这个山西省这个行走的这个所以好多时候我们恍惚兼职又回到了山西的什么地方因为今儿除了人不长得不一样你看其他地方很多跟山西的这个SF很像真的很像
[81:23.430,81:25.650,1]  那我们是不是差不多了呀
[81:26.890,81:33.900,1]  键鉴于这次是印度执行的就是最后一集呃那大家总结一下
[81:34.250,81:40.980,1]  呃其实古村已经总结总结过了哈就是这个榴莲的这个比喻徐霞还有没有
[81:41.270,81:46.660,1]  对呀我觉得就是没什么就是以后可以再深入的而且我想我们下一个旅
[81:46.660,81:54.800,1]  印度自理可能会集中在北部把这个北部的这个这个佛教史迹再再看一下
[81:55.150,81:56.250,1]  大概是这样吧
[81:58.720,82:3.170,1]  对印度已经错过N次去印度的机会了是吧
[82:9.470,82:11.880,1]  那就下一次争取同行
[82:12.240,82:42.890,1]  那么这一期的B下关就到此结束感谢收听也希望大家喜欢我们的节目逢周四上线推荐大家使用泛用型播客客户端订阅收听再见下关点com可以找到于每期内容有关的链接供大家按图索骥你也可以在微信和新浪微博关注地下关我们非常欢迎您以各种形式给我们提出意见和反馈如果您喜欢发邮件我们的邮箱是地下关爱en点
[82:43.940,82:57.530,1]  同时也欢迎收听ipebook网络旗下其他的节目it公论非织造博物志内核恐慌差一来了流行通讯还sorry印象五次元和选美我们下周见
