[0:0.165,0:5.220,1]  欢迎收听地下关今天势必下关的第37大家好我是宜宾
[65:53.970,66:12.220,0]  我我有一个感受就是上次去印度这个在这些伟大的建筑下面都是给猴子给站里面都是一片破法完全是另外一种生存壮壮另外一种票吧另外一种另外一种完全不是ad体验完了五味杂陈ev
[66:12.220,66:16.650,1]  副教授的那个费续费SF
[66:16.650,66:28.880,0]  哎呀我们这我们这那个生命力特别旺盛你看现在敦煌故宫简直是在那个暑期SF了已经
[66:28.980,66:41.560,0]  哦中午我真的推荐大家冬天去冬天的感觉非常好所以就是你多穿一点就好了因为洞窟女生还推着我冬天去玩范儿哎这冬天但是冬天去敦煌
[66:41.560,66:47.830,1]  会有一个那个就是酒店没地儿住的问题会不会因为好像据说很多酒店都关了
[66:48.430,66:54.130,0]  哦对小吃街可能很很难但是你为了看东西不为了体验这个
[66:54.640,67:43.920,0]  对不会吃不上饭的但是可能就你们有没有比如说想吃羊肉串儿就夏天那那个什么西北风情但是你的洞窟对但中途体验特别好人不知道不现在怎么以前他你冬天淡季去敦煌那个特枯市就有几个忘记收费的特殊登记是免费看还免费他送你几个月而且对而且就是他们的那个那个讲解员来说他们会特别耐心就不再限制你在一个洞里纸袋15分钟或者怎么样你而且租房的讲解员是我见了这些景点里讲解是算最专业的而且你可以提问就提问他真的能回答就呃各种比较啊什么的然后我觉得那个还不是an
[67:43.920,68:3.170,1]  原因是对是有学术素养的应该说对对对我记得那个我之前看过就是我不知道之前提过没有就是那个研究箭头罗比较有名的日本学者的这本书那个对公招它翻译成中文的那个那个译者好像就是就是敦煌的一个
[68:3.380,68:4.620,1]  平时还还讲解
[68:4.620,68:9.250,0]  哦哦就应该是叫叫叫什么梁什么
[68:9.250,68:13.820,1]  我不太清楚好像是女性但是就是他是我看他的介绍说它
[68:13.860,68:16.610,1]  平时也在工在那个中行做做讲解
[68:18.190,68:23.060,0]  呃我还要推就是现在暑期这故宫基本举报了我最近去了几次
[68:23.120,68:24.050,0]  这个
[68:24.130,68:52.560,0]  我我我也推荐大家冬天来因为就是比如说从摄影的角度上来讲吧这个冬天的太阳高度角的第二就是太阳那个那个早晨早晨升起来都是在南边是吧北半球那个太阳早晨在冬天的时候从偏南升起现在从偏北生气所以故宫现在你你不管什么时候早上去的话那个所有的宫殿的正面是黑色的你拍照是非常
[68:52.780,69:1.750,0]  不出效果的所以这都是非常适合冬天去去拍照不过我觉得现在也是一下雪人就多了
[69:1.750,69:9.900,1]  关键是有一个问题我觉得啊这冬天有一个问题故宫那个踏实那也没有暖气然后就是逛起来肯定特别冷
[69:10.360,69:11.080,1]  对吧这
[69:11.080,69:15.775,0]  夏天现在现在关键很痛苦的就是特别热很容易中暑
[69:15.775,69:17.090,1]  其实都不太那个
[69:17.220,69:25.030,0]  夏天夏天故宫就是去早晨和下午去景山拍那个全景夏天光线非常好
[69:27.750,69:32.510,0]  其实如果去故宫就推推荐大家可能都会都会错过就太庙
[69:33.710,69:41.770,0]  开票真的挺好的就是因为他总是所蓝又蓝的带一下子开票特别好他没有他可能会有一些
[69:41.770,69:43.660,1]  很很有趣的展览然后
[69:43.660,69:50.600,0]  橄榄对对对哎真的没人人特别少对pierre拍婚纱的地方
[69:51.510,69:56.250,1]  对那些影楼的人都知道那好他们都在那儿喷绘假装是在故宫排
[69:56.250,69:56.950,0]  呃
[69:58.030,70:11.120,0]  而且太庙有一个好处就是故宫基本上是没有供电让进的吗开票是唯一一个你能进一个同样体谅的明代宫殿感受那个大殿体量报一报
[70:11.120,70:13.130,1]  是那个什么金丝楠木上
[70:13.420,70:21.740,0]  Es木对因为清代都变成松木的了但是实际上暑期故宫有一个小福利就是
[70:21.780,70:26.790,0]  暑期的那个故宫的宁寿宫的黄金店是可以进的
[70:27.200,70:30.060,0]  嗯这个暑期结束之后这个店就关了
[70:30.180,70:32.000,0]  每年只在暑期开
[70:32.450,70:34.800,1]  哎你们要不要那个预告一下
[70:35.490,70:37.050,1]  我们的线下活动
[70:37.640,70:45.360,1]  我们九月初想做一个线下活动所以现在可能跟大家稍微预热一下嗯其他给我们介绍一下
[70:45.820,70:51.100,1]  不不原籍大概先说一下嗯元起是你们你们因为可能你们将来那个
[70:51.350,70:56.860,1]  会有一期会想谈一谈潜龙花园的故事是吧
[70:57.270,71:3.380,0]  对潜龙花园的种种吧他的这个他的设计啊它的历史啊他的这个
[71:3.380,71:8.490,1]  就是我们把钱隆汽配再延伸一下是ad
[71:8.490,71:33.380,0]  对这期我们会强调一下他的就是最近故宫的一些对乾隆花园的这个修复吧这个可能会强调一些这方面的这个情况所以为了配合这些节目呢我们这个特别请了这个这个我我用的库塔这个穿越摄影师这个超人这个对给大家这个被故宫做一个怎么说做个导览吧想搞一个这么个线下活动
[71:33.960,71:39.030,0]  具体的具体的套餐可以给大家可以先透露一下吗剧透一下
[71:40.200,71:44.390,0]  剧透一下就是在大家在这个
[71:46.430,71:52.200,0]  或者甚至是就是旅游旺季看一个没有游客的
[71:52.320,71:54.510,0]  小院是在期待
[71:54.640,72:0.140,1]  反正时间是可能是这样是吧就说八月底你们咱们贿赂这期节目上线然后
[72:0.210,72:3.040,1]  这个节目之后呢可能就配合这个节目然后
[72:3.330,72:6.770,1]  我们在九月初可能做一个找一个周末吧
[72:8.200,72:9.870,1]  做一个线下活动
[72:10.160,72:22.230,0]  对这具体情况呢我们会在我觉得可能下一周的会员通讯然后在知乎呀在这个微信公众号上我们都会把这个怎么报名的这个情况发给大家然后请大家
[72:24.380,72:45.570,1]  那么这一期的地下关就到此结束感谢收听在B下关点com可以找到和每期节目内容有关的链接供大家按图索骥您也可以在微信公众号和支付专栏关注B下关我们非常欢迎您以各种形式给我们提出意见和反馈如果您喜欢发邮件我们的邮箱是B下关艾特ipn.l
[72:46.430,72:52.060,1]  我们鼓励您成为地下关的会员每月五美元支持我们将B下关贯彻到底
[72:52.290,73:1.470,1]  关于会员计划的详情请访问B下关点com斜杠member同时也欢迎收听MPM播客网络旗下其他的节目一天世界喂知道
[73:1.720,73:9.130,1]  博物志内核恐慌太医来了流行通讯时长怪物印象无资源和选美我们下周见
