[0:0.000,0:1.480,0]  欢迎收听陛下关
[67:12.990,67:54.910,1]  所以我们今天要去要这些东西呢你没有任何一个不管是法律还是一个国际的公约都没有任何这样的依据所以你就打这个官司梧桐打起而美国我刚说到的那些就是它和中国呃就是签订的一些就是双边的这些协议啊就是呃这个归还和追索非法流失文物呢也是其实是比较晚静的就比如说现在如果有什么当今的盗墓贼偷的东西卖到美国去那我们就有非常充足的各种平只要证据强势的话你有充足的法律的依据来把这些东西要回来是他是这样嗯
[67:54.910,68:16.640,0]  对是因为任何的法律它都有一个追溯期的问题你不能就是说呃把现在的法律去追述以前法律以前的这个是说不通的就是你不能拿现在法律去追溯这个法律制定以前的行为这个是任何的都都不能再买所以只能追溯这个法律以后的所谓的行为我觉得我觉得两位都太理性
[68:16.640,68:19.080,1]  呵呵这个其实
[68:19.080,68:25.220,0]  对啊就是有一个现象我我还想回到这个网银提的那个问题就是说这些文物是不是有可能
[68:25.640,69:24.410,0]  你借展啊或者是什么各种形式ad我们中国的对对对对其实我觉得就说有一个环境的问题如果很多的噪音或者是什么的就是说都平息了以后这些文物倒反而有机会能回到中国给大家在现在这个条件下其实还挺困难的但是我觉得但是我觉得有好的开端啊比方说前几年那个美国各大博物馆把这个收藏的中国绘画拿到了这个中国在上海这个对这个其实其实这以前美国博物馆也是有顾虑的因为这些绘画的这个流失也有一定程度上引起了一些一些这个民族主义的一些波澜吧他们也有这样的坎儿就是说怕这些东西一旦就是说在你的这个手里以后会不会有一些不错Ken古村老师古筝老师你想他那次上海的话展示可以说前无来者这个这个后面就没有没有这样的例子了只有这么
[69:24.410,69:25.260,1]  哇那
[69:26.130,69:37.870,0]  呃对呀所以这很复杂我觉得不一定会以后没有吧因为这个其实那个画展办的还是相当相当城市很成功确实很成功我就拿冰袋这个例子二俊的这个例子吧
[69:38.170,69:41.300,0]  前几年我觉得即使在五六年前就一直有
[69:41.690,69:52.190,0]  当时那个碑林博物馆什么都有人出来说哎有可能这个二俊慧这个拿回来过来转什么的哎其实我可以告诉大家这个遥遥无期基本上是
[69:52.220,70:8.580,0]  在可想见的未来基本上是不太可能因为这个我自己的老师就是这个Q一点儿他有有时候我们聊到这个二级哎呀他们就是每个人有一个想法就是哎这个事情太复杂了这个多一事不如少一事而且这也不是他
[70:9.560,70:25.330,0]  主任的这个身份能够控制的这个都是要至少是到校长级的这个层面才能这个讨论这个他们教堂或这个这两匹马的这个问题所以所以所以嗯还是难度挺大
[70:25.480,70:31.555,0]  对我我想最后补给大家补充一下吧就是给大家更新一下就啊啊不对等一下现在
[70:31.555,70:46.060,0]  宾大博物馆的一个现状就是说呃对对对就说如果大家来参观的话就有这么个问题就是因为博物馆隔壁呢在就是有一学院的一个老房子在拆房子所以就是说
[70:46.410,70:58.900,0]  整个地区都要打开所以有很多的这个这个就很就是地动山摇的所以这个所以所以所以他们在博物馆还专门放了一个设施如果就说他的震动到了一定程度较
[70:58.980,71:20.890,0]  发警报然后就让那边停工怎么样的然后这个原听现在正在逐渐的关闭中那壁画已经在在在拆了所以呃所以现在因为在慢慢的做嘛以后园丁的这些东西都会拿走所以博物馆想趁这个机会把这个100多年没怎么动的这个园丁做一些现代化的改造
[71:21.280,71:40.170,0]  所以以后还会把这些中国物带饭河源听但是我所能告诉大家的就是什么时候园听会关掉什么时候圆听会继续开放可能现在还都是还都没定因为经费的是各种各样的问题吧但是至少我觉得大家想来看这些中国文物的话就尽早
[71:40.170,71:41.260,1]  炒鸡蛋
[71:41.260,71:49.170,0]  可能在以后可能在以后的若干年里我觉得在五六年或者七八年如果他原先关掉的话都不一定能再能看到
[71:49.170,71:50.370,1]  天呐
[71:53.110,71:55.010,0]  希望大家来参观就趁早
[71:59.330,72:5.780,0]  目前在宾大博物馆正好有一个特别优秀的一个特产这个展呢我可以
[72:6.010,72:10.080,0]  简单的给大家介绍一下这个特产这个特点呢是
[72:10.230,72:12.540,0]  呃大部分文物都是从土耳其拿来的
[72:12.760,72:16.110,0]  就是在1950年代啊这个宾大一个教授
[72:16.110,72:38.780,0]  主持了土耳其的一个就是在公元前八世纪小亚细亚一个古国叫这个fresh的这么一个国王的一个亡灵的一个发句儿这个王陵很神奇的就是说这个王林从来没有被盗过是一个完整的一个古代国王的一个墓葬而且很有意思这个
[72:40.620,73:9.290,0]  我们现在大概知道这个国王是谁就是在公元前八世纪吗当时这个国家教呃分a卷这个国家当时是和两河流域的亚旭和伊朗的波斯还有和希腊的这早期的这些这个国家都是并存的这么一个一个一个整幢的国家而且这个国王叫呃中文叫MIT或者叫MS这个迈达斯或者米达这个国王都进了希腊神话
[73:9.510,73:26.660,0]  有一个很有名的故事我晚一你你记不记得有个叫金手指的故事你们记得吗叫格登太子就这国王然后像这个酒神这个请请愿说是我唉能不能把我手碰到东西都变成黄金然后90就满足他的愿望所以他
[73:26.670,73:36.190,0]  碰到什么东西连他女儿都变成松了所以他在就这么个很有一经手指的故事然后现在考古前台确认这个发掘的亡灵就是这个咪咕国王的父亲
[73:36.670,73:38.410,1]  所以呃
[73:38.500,73:40.610,0]  对非常有意思这个展
[73:41.930,73:48.140,1]  所以我想说我再次仰天长啸我的美国甚至我哎哎闹
[73:48.140,74:13.220,0]  所所以我们这个B下关几个主播也在商量这个事儿就是说呃可能大家不一定能够到有机会在近期来看这个假所以我们想就说也做一个尝试吧就是想在下就是我们节目播出以后的这个周末大概周六或者周日吧我们想通过一次这个网络直播的形式来带大家看一下这个展然后可能现在只是对这个
[74:13.280,74:32.270,0]  B下单会员现在我想因为我们是联合节目也对这个博物志的会员呃做一些做一个直播但是现在就是我还不能完全的确定因为我还要做一些技术上的调适看进度是不是能够能够达到这个网速怎么样所以我如果你说mcok我想
[74:32.470,74:41.090,0]  想因为是美国他十点钟开馆吗我们十点钟开始或10:10开始然后一个小时的时间给给作为一个会员福利吧大家看一下
[74:41.090,74:42.000,1]  太棒了
[74:42.000,74:53.300,0]  可以如果如果lcok的话我们会在通过email或者通过这个微信这种形式告诉大家怎么怎么来收看这次直播所以这次先和大家这个说一下
[74:53.300,74:54.420,1]  太棒了
[74:54.760,75:33.180,1]  哼我我都好期待好的啊那我们这些节目就真的路到这里咯基本我觉得我已经确定要约再录一次就是关于那个就是海外流失文物的事情了啊那我们就做个结尾吧呃不治何必下关都是L播客网络旗下的节目如果您想收听我们的节目都可以到Hn.la这个地址去找到呃我们推荐您使用泛用型播客客户端这样可以最快收听到我们的节目如果您有任何的意见和反馈呢呢跟博物志联系的方法是来邮件到博物志点S啊不对哈哈
[75:33.590,75:44.750,1]  跟博物志联系的方法是写信到博物志SHCn.L这个邮件地址并下关的话呢是B下关an这个邮件地址
[75:44.820,76:14.030,1]  我们两个节目都开通了会员计划如果您想要入会支持我们把我们的节目越做越好的话就请您分别访问呃陛下关点com斜杠members或者是博物志点FM斜杠member这两个地址最后我们还要欢迎您收听iping播客网络旗下的其他家长非常非常精彩的节目里的斯达内核恐慌太医来了位知道流行通讯嗨story影像
[76:14.030,76:19.950,1]  无次元选美风投圈和时尚怪物啊大家再见
