[0:0.610,0:4.875,0]  欢迎收听B端今天是不相关的第二期大家好约定
[63:50.310,64:0.120,1]  他的对然后他就后来当时青州是属于这个南朝所以他在山东他在郑州上了岸以后然后到了青州然后南朝就把他送到健康
[64:2.860,64:4.800,1]  好那我们讲到这个印度呢
[64:4.940,64:8.510,1]  这个大概印度从40级开始的印度兴起了一个叫
[64:9.660,64:12.250,1]  所以由此也开创了印度
[64:12.570,64:14.510,1]  印度艺术的基多时代
[64:14.660,64:16.700,1]  简而言之把这个及多吧
[64:18.420,64:21.730,1]  这个吉多艺术呢他是结合了前期的
[64:22.330,64:25.350,1]  键头罗艺术和马图拉艺术的这么个大
[64:25.770,64:27.830,1]  他牺牲的是两方面的传统
[64:28.180,64:30.850,1]  然后呢把它综合起来然后又发扬光大
[64:30.990,64:34.310,1]  简单而言吧比如说再见脱落17这个
[64:34.450,64:36.390,1]  键陀罗造像的风格它都是
[64:37.760,64:44.130,1]  厚重的这个空间是的袈裟a级多把它这个吸收过来也是中间是的加沙但是呢
[64:44.790,64:49.340,1]  加沙变得很清薄了轻薄贴起然后呢烤鱼出水了
[64:49.340,64:55.770,1]  加这个然后开始出水OK然后呢他的这个一文呢开始变的
[64:55.860,64:57.890,1]  细小就变成一条条细线
[64:59.460,65:0.270,1]  然后呢
[65:0.270,65:2.420,1]  以后到了这个直播后期到了这个
[65:3.830,65:4.950,1]  鹿野苑17
[65:7.150,65:10.180,1]  他开始那个联系人都没有了就说完全就是
[65:10.180,65:15.180,0]  旅客一下那个下载来说明这个衣服是存在的不是关了的啊
[65:17.030,65:20.600,1]  所以这是一个特点我觉得从箭头开始就这样
[65:20.600,65:23.230,0]  可以没有啊这差很远
[65:23.230,65:30.550,1]  没有箭头有箭头就是因为它是希腊化的这个希腊艺术嘛他又很厚重就是很很明显的很漂
[65:30.550,65:40.440,0]  就像罗马的国家一样的那种它很厚的一而这个云岗那个早期就是为早期的也是这样的很明显的是街头风格的那种
[65:41.480,65:55.070,0]  对但其实箭头喽我如果没记错的话建筑后期其实是跟马图案有一个融资他吸收了很多嘛嗯对然后他就变得开始跑起来了而且说反映在北朝就是反正北魏的那个云岗不是也开始变
[65:55.220,65:56.865,0]  变化也开始有这种
[65:56.865,66:0.810,0]  就变薄了好像就是他一直有一个呼应的关系在中国公民
[66:1.750,66:3.340,0]  短暂的互动
[66:3.340,66:6.815,1]  印度在影响我们然后我们又有一个这个吸收又有一个
[66:6.815,66:8.030,1]  不断的这个发展
[66:8.560,66:21.240,1]  所以讲到的这个箭头呃许多艺术的这个它其实它最主要的特点当然了刚刚我们讲的这些医者呀衣服啦身材身材了比如身材马图拉雕塑的身材一直是
[66:23.700,66:25.530,0]  键长曲线毕露的那种
[66:25.530,66:26.570,1]  啊所以
[66:27.090,66:30.920,1]  对呀对呀所以极多也吸收了这个特点但其多的
[66:31.180,66:35.920,1]  集大成的就是说它的这个最大的成就还是表现在这个脸部
[66:38.060,66:41.920,1]  他的这个脸不像脸部的表现第一个他做的刻画的非常细致
[66:42.080,66:46.230,1]  第二个他的这个表情特别的深邃有一种很内敛一种
[66:52.490,66:55.900,1]  所以我们再来看轻松我们发现这个听说完全呐
[66:55.900,66:56.965,0]  那那个
[66:56.965,66:57.970,0]  吉多
[66:58.030,66:59.370,0]  其中有猛男理想吗
[66:59.370,67:6.190,1]  还不太一样刚超人提到文达厉害我在想还真的心中好像更温暖理想一点但我不是完全
[67:6.190,67:7.300,0]  你也不同意是吧
[67:7.600,67:19.780,0]  哦好像因为的多吧我觉得他是印度本土的风格它那个它对这个人的面部的刻画还是印度人的那个长相其其实挺跟青州的挺大的一个区别是
[67:19.780,67:25.310,0]  他的这个权限很厚嘛然后觉得好像郑州都是还是挺早的那种
[67:25.310,67:31.240,1]  对除了青州我觉得有这个比较明显的风格影响其实那个
[67:32.080,67:42.630,1]  取消也可以这样就是说比如说那个咱们讲到的这个其实反映北齐皇家水平的这个小唐山它有些什么样的像他特别有异响唐山市这个北汽皇家的这个
[67:43.920,67:48.880,1]  开导的石窟所以如果我们现在来看小唐事故想看的时候可以说是与那个
[67:48.990,67:51.500,1]  他和现在我们发现的这个北吴庄的这个
[67:52.700,67:55.630,1]  完全是这个风格是有比较大的差
[67:56.170,67:58.110,1]  再去世界上在一些这个
[67:58.610,68:0.890,1]  可以说气气质上都不太好
[68:1.570,68:3.360,1]  呃北湖专属的那些
[68:4.150,68:9.620,0]  所以说如果有跃层风格的话那咱们还不能
[68:9.620,68:10.880,1]  响堂山非常的
[68:11.510,68:14.520,1]  这应该是和他当时作为皇家寺院怎么
[68:17.240,68:18.340,1]  完全是这个
[68:19.410,68:22.120,1]  可以说是这个外来的气质吗
[68:24.060,68:25.210,0]  哪儿来的呢
[68:25.270,68:30.845,1]  呃这个就很复杂其实现在学术界也说不太清楚响堂山石窟想爬山照相
[68:30.845,68:33.020,1]  基本上现在来看还是一个
[68:33.620,68:35.350,1]  比如说我再举个例子吧
[68:35.380,68:40.180,1]  这个身临其境的一个例子比如说我们走入小汤山大北栋大北动它有一个
[68:41.110,68:42.960,1]  衷心祝福了她每隔
[68:44.950,68:47.250,1]  看你是叼着这个一波儿葡萄
[68:47.820,68:49.100,1]  他这个图赛啊
[68:49.100,68:50.390,1]  交的是特别特
[68:51.800,68:55.230,1]  我们今天去看很可惜屠杀的脑袋都没有了
[68:55.390,68:58.590,1]  现在知道了几个脑袋有有两个很很著名的
[69:0.770,69:3.810,1]  但这个不看脑袋你只看那个身材就已经非常
[69:4.880,69:6.320,1]  她的身材他都是
[69:7.340,69:11.060,1]  就是上升是这裸着的下面是穿穿着一个
[69:12.260,69:13.730,1]  曹毅储水式的一个
[69:15.160,69:19.980,1]  然后那个身材姿势的这个优美肌肉的这个漂亮啊那真是这个
[69:21.460,69:37.800,1]  对另外就是说这个小唐山还有很多迷啊讲讲到另外一个呢就是讲唐山这个大百度上面还有一个空的一个持续那么这个就说当初还有人说这个高欢的实际上他的这个最后的呃一股是等于是葬在这个里面
[69:38.130,69:41.850,1]  对吧这个当然这也跟这个佛教的一些传统可能有关
[69:42.290,69:51.720,1]  对这个很有意思这个高三这个我稍微拿一分钟解释一下吧高端这个人呢是北齐王朝的开创者他虽然没有不是北区的皇帝但是它其实市北区证券
[69:53.370,69:54.800,1]  他这个人和曹操
[69:56.120,70:1.370,1]  第一个他能力很强他去曹操不如就是他他和曹她出生比较低微了
[70:1.540,70:4.570,1]  但是他呢一直是这个东卫的这个全程
[70:4.800,70:7.820,1]  然后他一辈子也没有串味是大他儿子
[70:9.320,70:12.880,1]  而且还有一个比较有意思的他和曹操都站在了一层
[70:13.460,70:17.030,1]  而曹操所谓的七十二一种你也不知道曹操的这个
[70:17.900,70:19.340,1]  高欢的他
[70:19.720,70:26.880,1]  这个房我现在其实也它的莫林也不知道在哪现在我们知道高华有一瓶零但是很多人怀疑高华其实
[70:26.910,70:28.830,1]  其实这在资治通鉴里就写了
[70:28.830,70:29.910,1]  他是放在了
[70:30.010,70:33.940,1]  北齐的这个响堂山石窟大北洞的中心住
[70:36.740,70:39.500,1]  现在我们今天看还能看到那个空间当然里面
[70:40.670,70:42.170,1]  是那三个洞吗
[70:42.420,70:48.030,1]  呃是大北栋的那个中心住顶上有个那个也也有一个他不小的空间
[70:49.080,70:51.560,1]  就是就是想分享到最大的那个东
[70:52.090,71:0.405,1]  对啊而且很有意思的话没感觉哎对呀因为呃我不是前面说了嘛他这个北栋趋势模仿一个
[71:0.405,71:12.100,1]  一个一个一个国产的形制的原来的印度这个大塔桑奇大塔他这个塔的这个互拨的顶部它不是有一个伞盖吗展开下面它有一个空间的博德这个舍力啊
[71:12.380,71:22.940,1]  白糖在这个钉钉对对对因为它本身是实心的但是我们现在看赔偿他也是在这么个几乎接近卡插什么位置超这么空间哎说不定这个
[71:28.860,71:34.290,0]  哎那个咱们再说说曲阳有没有曲阳风格或者定州风格
[71:34.610,72:3.570,1]  因为曲阳它是一个最大的一个特点呢曲阳的用材跟青州是完全不一样的曲阳它圣圣彩白石这咱们通俗的讲什么汉白玉什么这样的这种石材这种石材到现在还在还在生产啊因为取消社交现在也还在传承当然只不过雕刻的这个内容不太一样了这个从以前雕刻佛教的东西现在雕刻五花八门的这个各种各样的从从这个毛泽东到观音埔的都有这个放在大大大马路边上大家都可以
[72:3.570,72:11.270,0]  哎这个故宫的白石的就是汉白玉的什么标志也是取啊都还有天府广场的人民币呗
[72:11.390,72:14.010,0]  就说也是来不及啊那时才是公
[72:14.010,72:17.300,1]  键一直哎对公公一直
[72:17.540,72:22.360,1]  对曲阳因为它那个出土的这个教程他也是这个时代跨度也
[72:22.970,72:34.090,1]  不只是这个北汽的但北京的这个东西比较突出一点还有一个实时制不一样因为有时候实质不一样决定他的雕刻的工艺或者他的这个这个形式也有些
[72:35.340,72:46.350,1]  因为大家如果把曲阳的东西拿出来跟那个呃跟青州的比能发现它的一些我们从现在看到出土的曲阳的这个照相了一般应该就是喜欢的造价的他是白石
[72:48.270,73:0.190,1]  行驶为主因为它这个实质的印度不一样比如说白石会软一些听说的那个亲子会硬一点所以他你感觉到了它这个佛像的这个这个力度这个张丽有些不一样青州可能会更强
[73:0.860,73:1.580,1]  当然了
[73:1.700,73:3.925,1]  曲阳县我们的体量比较小
[73:3.925,73:6.620,1]  一般的都是一些小的这种被品质的而且
[73:7.180,73:9.380,1]  有很多这个遗漏掉这种
[73:18.530,73:23.200,0]  小型的这个呃开设道场其实可能还是
[73:23.300,73:30.360,0]  用于这种家庭博看比较多就是它的功能可能不太一样是吧就比如跟荆州的相比郑州的
[73:30.660,73:34.130,0]  嗯大型的单词的音标应该还是在住院里面
[73:34.330,73:35.810,0]  再福堂
[73:37.440,74:6.520,1]  这个就是夜间讲到这个问题其实也是一个我觉得可以升为学术界一个很大的一个问题就是说在早期佛教的时候除了石窟这种外来的这种艺术就是佛寺里面的这个佛像的供奉跟这个礼佛的这个一归到底是怎么样的这也是我觉得值得我们以后关注的一个东西因为因为现在咱们这个所看到的这个汉川汉传佛教的这些佛寺的这个布置并不一定是在南北朝时期的佛寺就是也是这样的这种
[74:7.310,74:45.920,1]  因为有一个就是说咱呃洛阳黔南具体很明确记载就有零四后面就有个大店大店里面控制的这个佛像但他讲的这个佛像是有藏极高对但是它有一个点就是它这个佛像是到了这个节日是要拉出来就是有点像现在这种一些呃巡游啊就像南川国叫有限对这样的一些一些一些那如果他需要能够巡游的话它的佛像的这个体量也好制裁制也好可能也跟咱们大家现在想象的这个不一样另外一个就是说在某种阶段造像碑很多在某种现在被平时的这个造像很多这可能跟当时的佛教的一个地区
[74:45.920,74:46.840,0]  太贵了吧
[74:48.390,74:49.550,0]  那么
[74:49.680,74:51.790,0]  信阳的信阳有风格吗
[74:51.950,74:59.500,1]  这个晋阳的这个风格呢也还也是比较明显的信阳的风格呢总总的来说呢他这个
[74:59.610,75:2.150,1]  我是说北齐啊他的这个
[75:3.500,75:6.100,1]  佛像他倒不是太注重这个生产
[75:6.840,75:7.910,1]  而且这个
[75:8.230,75:10.870,1]  好像我我感觉我印象也是以这个作为
[75:12.520,75:14.390,1]  特别大也有比较大的大概有
[75:16.330,75:19.060,1]  那他的开的也是比较有特色的是那种
[75:20.570,75:21.630,1]  长圆形
[75:23.090,75:30.120,1]  比这个比借城看到的夜场的脸的稍微稍微短一些这个青州的脸的比较远他们那是吃
[75:30.250,75:31.750,1]  长远方圆行
[75:31.870,75:33.915,1]  这么个开点然后眼
[75:33.915,75:35.190,1]  这个点哪个小区
[75:35.940,75:36.850,1]  就是说像
[75:37.260,75:39.690,1]  像我们南方话打车也比较肌肉
[75:39.700,75:45.680,1]  大土豪就不说了就是那种比较长形的这种这种东西然后表情也比较严重
[75:45.860,75:51.390,1]  不像那个没有蒙娜丽莎的感觉他讲相对很重的那个功力非常吃力
[75:51.840,75:55.650,1]  讲到这个咱也是一个就是说那个为什么就是这个
[75:56.260,76:41.850,1]  跟这个就是其实当初这个三国鼎立的时候啊这个跟西语都有一些联系比较难朝野珍惜有些连心每周也跟西有些联系就是说但是我想讲的就是说我们现在这些地方都有一些遗存的一些照相可以给大家看但相比之下同一时期来说就北极那个时期出就是说产生的这个佛教造像他无论是数量也好或者质量也好啊就是我个人认为是远胜于当时的这个南朝或者是这个广州时期的造像我想说就说这个有外因和内因两种因素吗外阴都在这个北齐北周这个南朝他都受到了这个因为他都有直接沟通这个区域或者是印度的
[76:42.310,76:43.260,1]  但是而且
[76:43.260,76:45.410,1]  就像许多风格的话我们现在看到
[76:49.340,76:53.020,1]  也有很多方法但是北周和北齐现在从出土的这个
[76:55.480,76:56.650,1]  生命的魔法
[76:58.130,77:1.020,1]  而北芪它是有一种这种吸收性的再创
[77:1.140,77:5.460,1]  所以我们才会觉得这个北区的艺术会那么高明这可能河北区的这些
[77:5.580,77:9.120,1]  不知道和其它房地有关系的还是和他的这个当时的一些社会的
[77:13.290,77:15.850,1]  其他皇帝就特别重佛吗都
[77:16.430,77:24.560,0]  嗯他们好像也重叠的吧就是因为那个时候其实文化交融的很厉害所以就是这种风格包括尖叫我们可能
[77:24.840,77:30.400,0]  我们假期我们可能会考用这个抹帐意思这种就是发现很多
[77:30.640,77:38.140,0]  在乎叫外卖来其他专业的学生呢国家当然也有但是待会要在路上
[77:38.140,78:5.190,1]  但是我想只收一点就是其实在北齐这个南北朝是那个时期来说嗯各种宗教实际上对于中国来说都是一种新鲜事物就是佛教传入大行其道在中国的话也是在南北朝时期那时候开始就那时候中国时尚处于一个比较对各种东西一个一个就是一个碰撞跟这个交融的一个像你刚才说的那个就是在那个丁城外西山燃灯那个那个感觉都听着
[78:5.190,78:11.560,0]  对美国其其实我有时候挺靠谱的就是说这个在佛教在传入的佛教里面有没有其他的
[78:11.610,78:15.120,0]  嗯其实有应该可能不可能有一袋
[78:15.120,78:17.060,1]  你在印度佛上能看出来
[78:17.060,78:25.080,0]  注佛教本身就吸收了很多这个包括在国家的包括很多菩萨的这个这个
[78:25.250,78:28.040,0]  嗯都是从万达比如有这样
[78:28.040,78:34.500,1]  他收付一个外道就会把那个外道的好多习俗图像都引入到自己的这个
[78:34.500,78:37.120,1]  宗教依规a
[78:37.270,78:55.130,1]  在这个印度本土这个国家它已经吸收了好多太低了高原的这些艺术元素以后佛教向北经过健陀罗地区或者传到了河中地区以后又在当地又吸收了好多就那更近了伊朗高原这个波斯这个艺术然后又抢到的是特别复杂的一个一个问题
[78:56.240,79:6.810,0]  哎不管怎么说我觉得今天咱们聊的我觉得有一点有点清晰的印象啊就是给骑着佛教艺术可能应该是有四个比较重要的人
[79:7.030,79:9.660,0]  呃中心吧一个是
[79:9.890,79:13.840,0]  属羊这咱们从曲阳然后叶城
[79:14.130,79:15.020,0]  忻州
[79:17.430,79:26.630,0]  如果所以说其实可以这么说如果我们要安排一个访问北京佛教美术的行程的话那应该是围绕着这个东西呢
[79:28.600,79:33.620,1]  这四个主要中心当然这个零散的还有很多了这个但是抓住这四个粽子
[79:35.180,79:46.520,1]  嗯设中心完了有大概这个呃十来个左右的博物馆吧就这但如果我们再补充一点如果想看的更全面一点应该到这个西方的一些
[79:47.030,79:49.800,1]  如何注明注明的这个美国纽约大都会包
[79:54.890,79:56.500,1]  还有还有冰大的这个
[80:0.560,80:2.040,0]  下期咱们聊
[80:2.270,80:3.370,0]  秒到地下
[80:6.400,80:8.050,0]  所以咱们先预预热一下
[80:8.820,80:27.610,1]  因为我觉得是这样因为我们开播第一期聊了一些这个绘画方面的一些内容对吧那么大家也知道因为这个客观的原因我们在中国基本上随带以前的会话我们在纸面上是看不见的那么我们如果要看到那以前的绘画的风貌的话一个我们就
[80:27.640,80:34.470,1]  需要看墙上的呃就是壁画壁画呢除了这个东华以外在我们内陆地区的话主要还是在这
[80:38.380,80:52.020,1]  壁画的一些风貌也也是这个我们所探讨的地方刚才我讲的这个一些长期出示在在这个壁画上而且运用那么这个我觉得挺
[80:55.330,80:59.070,0]  好啊你挺读者给我们下一次那个
[80:59.490,81:3.040,0]  呃北齐的另一大艺术高峰
[81:3.290,81:4.760,0]  路上宾馆衣服
[81:5.730,81:14.410,0]  那么今天的地下关注到别墅感觉周冬雨不懂的单词我们节目逢周四上线推荐大家使用汉庭播客客户端的收听
[81:14.920,81:23.695,0]  在地下关点com可以找到于每期节目内容关注链接供大家按图索骥您也可以在微信和新浪微博关注下官
[81:23.695,81:26.310,0]  我们在支付还开设了地铁官庄来
[81:26.670,81:30.100,0]  非常欢迎您以各种形式给我们提出意见和反馈
[81:30.100,81:33.120,0]  如果您想发邮件我们的邮箱是比较关爱
[81:33.230,81:34.810,0]  SDL
[81:35.650,81:39.045,0]  同时也欢迎收听it都是网络旗下的其他节目
[81:39.045,81:40.900,0]  ID工作我也知道
[81:40.920,81:45.560,0]  博物志内核古方快意来了流行通讯海尔
[81:45.970,81:47.840,0]  印象50元
[81:49.240,81:50.150,0]  嗯再见
