[0:0.165,0:5.140,0]  欢迎收听陛下关今天士兵下关的第15期大家好我事业编
[67:44.560,67:51.270,0]  对就是16楼汉相对清楚这个我可以就是稍微差补充一个知识为什么会有16楼哈其实这个和那个
[67:51.670,67:54.240,0]  呃和弥勒的信仰是非常有关系的
[67:54.540,67:58.890,0]  就是这个大概有一些故事就是在有有一个也是从铂金里面来的
[67:59.140,68:4.420,0]  就是说那个佛灭之后啊我们也之后800年就是佛陀涅盘以后800年然后
[68:4.540,68:5.930,0]  有这么一个
[68:6.030,68:7.650,0]  大罗汉他叫
[68:7.970,68:9.190,0]  兰亭绿菠萝
[68:9.480,68:14.010,0]  这是玄奘译的一步一步教法助剂里面提到的就是说他呢
[68:14.130,68:23.960,0]  呃是斯里兰卡就是狮子国内那边的人然后呢他也要圆寂他也他说我也我也要走了我也要灭度了然后她说信中就很悲伤
[68:24.100,68:31.050,0]  就是说那你走了我怎么办啊所以走了你也走了然后那个他就他就安慰他们他就说了这么一步一步
[68:31.130,68:33.210,0]  一步要经过还是叫什么叫叫
[68:33.330,68:39.700,0]  叫法助剂他就说呢说这个佛头当时呃圆寂的时候它自己灭度的时候他其实
[68:39.850,68:43.060,0]  他教导他说要叫16位阿罗汉
[68:43.400,68:47.420,0]  说你们不能那个密度你们不能涅盘你们要留在世间
[68:47.550,68:49.010,0]  呃开户政法
[68:49.220,68:52.200,0]  一直到什么时候呢一直到这个弥勒下世
[68:52.210,69:1.360,0]  有名额限制是在什么时候在五十六五十六一年以后一年以后对不对按国家的说法对对这这中间
[69:1.390,69:3.210,0]  就是由这16位
[69:5.710,69:6.930,0]  然后那个就是
[69:7.340,69:9.010,0]  照顾这个世间的人
[69:10.600,69:15.980,0]  就是这个在唐代嘛就玄奘译的一出来这一切故居比较就叫法助剂
[69:16.200,69:21.590,0]  然后就他一出来之后这个就很火嘛就就流传流传非常广然后就也就从唐代开始
[69:22.880,69:30.870,0]  这个罗汉的这个楼盘的概念对对对是的所以那个时候吴道子啊什么就是很多当时的画家画过很多这个
[69:31.890,69:38.400,0]  所以我看但之前是肯定没有的然后真正开始流行是在其实应该是从
[69:38.490,69:40.280,0]  古代吧从观修的那个
[69:40.280,69:43.950,1]  关键是那个十个罗汉图是到处都有那个时刻本
[69:44.190,69:46.460,0]  母本对对是个模板
[69:47.000,69:48.980,0]  所以那个一直到五代
[69:49.420,69:52.430,0]  对到宋才开始就是16万真正开始流行词
[69:53.350,69:58.510,0]  一般如果你说现在是这个16楼汉或者18楼还是唐代的基本上是挺可惜
[69:59.830,70:4.290,0]  因为那个时候呃目前为止好像很少很少应该没有没有
[70:4.820,70:7.400,0]  没有已知在是的这个是罗汉的
[70:8.130,70:9.860,0]  可能最早的应该是
[70:11.720,70:13.010,1]  古代的我我
[70:13.010,70:20.150,0]  我自己知道好像我看到过的这个五代的16罗汉的塑像应该是在那个大足石刻里面有
[70:20.780,70:22.070,0]  看一下
[70:22.780,70:25.170,0]  好像还有那个杭州的
[70:25.210,70:26.470,0]  杭州那个烟霞洞
[70:26.750,70:27.920,0]  那满觉陇那边
[70:28.820,70:37.890,0]  对因为我补充一下我觉得这个石榴的话就头像可能应该在往常的时候就应该是有了到五但是应该是
[70:39.260,71:15.710,0]  有些这个partner了因为我我我印象里这方文的这个论文就是写这个16楼啊就是罗汉图像SF再送台他也涉及到一些早期的因为因为观修饰在属地这个pass所以这个对因为属地和和就是说这唐末好多都大家的烂的地方然后这个所以大足会有吗对呀就是ad的对他就说注入的那个16楼的图像是很多的就是alley很多但是就是纯是的目前看到的
[71:15.870,71:17.920,0]  呃基本上就非常少
[71:18.430,71:23.800,0]  对啊应该没有就看不到他躺在的话别人就少但是古代的呢
[71:24.150,72:0.040,0]  嗯就就问一下你这个因为我一下子就到了500罗汉还青年自您还记得吧青年自有一块呗就是在那个观音店的这个下边就是500万的企业敏感580的名字每个都这个写在上面这个呗我觉得挺多然后最终这也可以对是挺有意思对500罗汉也是从16楼上有了之后才开始有的就是它是一个付费的东西嗯因为开始从其实楼上开始大家开始崇拜罗汉因为它把罗汉的一直呃一给揭示出来了就是说这事你看这个弥勒来下去之前就是我们就靠他们了
[72:0.340,72:2.330,0]  对就开始崇拜那个是武汉
[72:2.640,72:4.790,0]  是是有这么一个关系
[72:5.720,72:12.770,1]  所以反正就是说这个不管从哪个方面来讲吧这个录制的这个宝生四还是非常值得大家
[72:12.770,72:21.110,0]  对呀所以我觉得我们在配合ad总结一下这个仿生四这个罗汉的这个一我觉得至少我们看到的去半壁
[72:21.240,72:43.270,0]  这个半半半闭的这个罗汉玄素也好必送也好我觉得他们至少让我们看到了这个北宋大概在这个12世纪初期的这么一个就是绘画之外我们看到一个罗汉这个影像的这么一个一个一个形象嘛我觉得这个他这个很重要的一个一个哎北宋实际17的这个
[72:43.840,72:53.100,0]  同时去的16罗汉是不是也并不是很多损失当然如果说塑像啊暑假对属相录像研究
[72:53.100,72:59.730,1]  呃也就是这个你刚才讲到的这个灵岩寺长清的灵岩寺完了那个304
[72:59.730,73:5.620,0]  也不是16楼哈因为他们说有可能是500多块那个是因为那个数很奇怪吗40
[73:5.620,73:13.000,1]  所以这样说起来那个长组那个重庆市还是比较比较靠谱的对房子重庆市的十十十六罗汉
[73:15.360,73:24.790,1]  也就是J我能想到的也不是很多吧对非常少因为说实在虽然这个讲咱们这个是什么文明古国其实真的保留下来的东西其实不多
[73:25.120,73:28.780,1]  这个真的是非常凤毛麟角的一些东西
[73:29.350,73:45.110,0]  保留下来啊不错啦这个这次我们去印度我觉得看看印度的早期的这个国家和理解也没有想象的多其实那反正比他们那孩子感觉差的还是还可以比我们还多吧做做所以我觉得回到这个宝生四就是说
[73:45.110,73:58.540,1]  除了看关注罗汉以外我觉得还可以关注关注一些这个建筑遗存它的这个实交的柱础啊金床啊还有些一些东西可以这个看一下是相当精美帝这个宋代的建筑过境
[73:58.750,74:0.940,0]  反正杨慧芝这个人你们不打算
[74:2.330,74:11.930,1]  杨慧是因为呃其实可以聊聊那时候不是说杨慧芝跟那个吴道子都是跟着那个呃
[74:12.920,74:19.420,1]  那个张凤阳张凤阳张凤阳呢是也是这个四川这个苏州人
[74:20.130,74:36.580,1]  但是都是苏州人对杨慧芝也是苏州人事苏州人对这这个呢倒是也就是也不是没没事来风也是有血F就说这这个也是有一定的这个关联在里面的
[74:36.580,74:46.910,0]  哎呀但是就是怎么说呢至少就是说有一点可以看到就是保证至少在唐代啊曾经也是繁荣一时啊不然陆龟蒙墓不会就
[74:46.910,75:14.100,0]  就刚才保证之后应该也是一个比较这个重要的紫苑一直到元旦加上政府的这个题的这个银联呢应该也是并不是一个这个嗯大家都不知道的公司那个因为有什么要对杨慧芝要药补充因为其实我觉得杨慧芝还挺重要的就是说虽然其实这也不是羊跟羊未知没什么关系这样是什么关系对不对但是既然那个
[75:14.100,75:29.510,0]  由头是杨辉之吗因为这个是整个被炒起来其实也是因为估计刚刚说啊就是杨慧芝的那个就是速胜的吗杨辉可能是不是我不知道呃我记准不准确因为安徽可能在中国的这个美术史上市
[75:29.600,75:32.750,0]  比较早的应该是不是最早有没有性格
[75:32.850,75:37.770,0]  酵素佳兆dsa哎我想将会是之前还有
[75:37.840,75:56.590,0]  江苏加的你还真没有还真想不到谁雕塑家画家gratis因为标注加就是可能比画家右下一等了是吧呵呵这样匠人这里面就是更更脏乎乎的那种SF那种传统上是不太
[75:56.590,76:6.610,1]  重视这个家中国文传统文化不好的地方就不太重视这些匠人的这些这些这些名字跟这个流传的这些东西嗯人话拉屎
[76:6.610,76:17.160,0]  大名鼎鼎的向阳会只这个是速胜吗这是算是当时算是民众意识而且像那个什么黄金黄金啊苏东坡啊都
[76:17.410,76:21.170,0]  都写过一些文章里面提到他还是挺
[76:22.040,76:32.430,0]  在那几百年还是很非常有名的后来像那个安妮哥咱们之前以前是不是也提到过这个啊哥或者是刘刘刘刘啊
[76:32.430,76:34.620,1]  这中间差了好几百年了等于就
[76:34.850,76:42.995,0]  不我的意思就是说中国美术史上对对呀真正能数的过来的可能就这么几个想不起来几个嗯是
[76:42.995,76:47.840,0]  不是说只留这几个名字但是就是说而且这些人雷潮夫妇对
[76:47.840,77:4.260,1]  这些这些这些所谓的这个道具就没有确性使的这个作品留下来就跟就跟啊就传说这个舞蹈腐化的但是现在咋没有人认为哪是不是是真正的舞蹈组的这个作品一样大家都是就是杨慧之刃
[77:4.260,77:7.805,0]  那个我我查了一下也挺有意思就是呃
[77:7.805,77:30.930,0]  就是他在唐诗里面就是包括包括刚才我提到苏东坡黄庭坚都有专门有有写写文章的时候提到过他就是在当时肯定是明智非常非常大而且是有确定是有作品的而而且很多那个那个而且我觉得很有意思就是我看到那个黄庭坚也写过一篇文章啊他其实是在成都的时候有一个寺院
[77:31.110,77:34.560,0]  呃到了一个大悲阁然后里面牵手千手观音
[77:34.890,77:37.410,0]  然后是宋代的铁观音但是呢
[77:37.560,77:44.550,0]  他就提到了说就还今天写这篇文章说就写这个千手观音就她说就提到了杨慧芝他认为他说杨慧知识
[77:45.060,77:47.560,0]  是这个千手观音这个
[77:47.570,77:49.450,0]  这个塑像的始作俑者
[77:50.980,78:39.800,0]  我觉得还我觉得还挺有意思的呃但是我我我答题的因为千手观音因为这个是和这个密教有关系的嘛因为啊女性对啊杨慧就是开原市好的人啊这个堂弟在开源的时候还不是那么鑫盛吧所以这个我不知道这个我得再查一下OK我给你反反正这是黄黄一些那个文章里的呃但是这个就肯定也不是说确凿的证据但是adye是个什么风格实在是没有任何的这个实力呢这样这个我们完全不可能不可能了解了我只是觉得在在这个文献里他其实还是没有问题的很多尝试里面有讲也写说
[78:39.830,78:46.500,0]  那个说洛阳有一座广唉像咱也不知道在哪儿了洛阳瓜子里面他做了那个他整个宿舍一座农家山
[78:46.690,79:2.920,0]  就是龙学兵里面的那个那个SF非常非常大型的一个群雕嗯然后有很多很多人都写过一直到宋代那个雕塑居然还在然后还被这个人们自习提起就是写写诗啊写文章提醒
[79:3.290,79:7.670,0]  呃非常深然后那个洛阳还有一个道教的一个
[79:7.900,79:13.750,0]  宫观教学员工在那个芒山上面也是当时其庞大的一组供电
[79:14.000,79:16.170,0]  然后里面有他他有他的主项
[79:16.400,79:17.590,0]  反正到处都有
[79:18.040,79:30.760,0]  嗯这个就很神奇的一件事传奇的人我也看不到了哎是他其实要比那个刘銮要我觉得要明确要大多了其实那男其实嗯
[79:31.250,79:32.920,0]  就是那那个
[79:33.210,79:57.750,0]  呃但是现在就是浏览的东西有时候我们还能提起来说什么那个进程的玉皇庙28小时有可能跟他有关系对但是这个杨慧芝现在基本上是完全没有而且我我听他刚才一边讲的这个就是扩的这些文件我觉得大洋会是这四项应该是水度应该还是不小的对不对es应该是还是相当大的对
[79:58.210,80:1.600,1]  嗯就只能只能存在大家的想象里面的
[80:1.600,80:18.220,0]  意会了哎呀呵呵速胜一带速胜儿说是那个跟跟张鹏遥一一起学学会儿然后跟无照舞蹈姿势同学吴子华太好了什么一一生气不化了对啊
[80:20.960,80:32.650,0]  哎最近的是这个江南这个江南一隅阿宝胜似还保留了这么一一点儿这个仪器可以给我们这个评价也好欣赏也好都可以去看其实我觉得我觉得我觉得
[80:32.650,80:48.840,1]  但是我觉得也说得过去就跟现在大家说啊什么范宽啊什么什么你说有几个真的是范宽画的好多也都不是范宽的人没这也是这个托人临摹所以充电来讲咱们说这个杨这个咱们说这个杨杨肃之说这下一等针剂吧
[80:49.290,80:52.555,0]  Heis这个
[80:52.555,80:57.810,0]  最好的中国艺术品只存在于想象中这个
[80:57.810,81:2.740,1]  也是一个一个值得值得这个大家深思的一个一个因为在
[81:2.740,81:8.740,0]  中国的这种筑路里面都是神湖奇迹的是这样做是吧是能看到的实在太少
[81:8.740,81:24.030,1]  那你说那个那个说那个张张孙瑶这个什么话就把刚呃瓦官司的什么门什么北京什么什么ad这个中国这个也有这个也有把他这个把它这个一束花在这个成分在里面
[81:26.440,81:52.240,0]  最后可以直接最好可以给大家补充一个就是占据录制不远吧在工业园区斜塘啊其实现在后来就最近20年还发现了一个小小的元旦木工机械知道鞋呃对孩子是工资店的形式还非常有意思大家如果去入职顺便可以到那个叫携程的土地庙去去看一下还很值得看一个小小的一个元旦的木构这个形制还是非常有意思
[81:52.660,81:59.680,0]  那么这一期的B下关就到结束感谢收听也希望大家喜欢我们的节目每周四上线
[81:59.840,82:3.490,0]  推荐大家使用范玉婷播客客户端订阅收听
[82:3.960,82:10.060,0]  在B下关点com可以找到于每期节目内容有关的链接供大家按图索骥
[82:10.590,82:14.220,0]  您也可以在微信和支付专栏关注并下关
[82:14.330,82:23.160,0]  我们非常欢迎您以各种形式给我们提出意见和反馈如果您喜欢发邮件我们的邮箱是陛下关爱en.l
[82:23.720,82:27.540,0]  同时也欢迎收听L播客网络旗下其他的节目
